unused,R2 threshold,width V,slope mV per decade,i0 A,residual A per V,start V,Tafel R2,LSV R2,reported end V
0.000000000000000000e+00,9.010000000000000231e-01,3.899999999999997913e-02,3.915369632075775286e+01,4.255002167749350326e-08,1.045878376839009573e-04,4.099935333200011023e-02,9.167824486804064810e-01,9.557042954575584170e-01,7.999935333200008936e-02
0.000000000000000000e+00,9.010000000000000231e-01,3.999999999999997308e-02,3.955562686063231581e+01,4.398913918899933403e-08,1.064840235303467035e-04,4.099935333200011023e-02,9.188832922410421489e-01,9.554600672264792482e-01,8.099935333200009024e-02
0.000000000000000000e+00,9.010000000000000231e-01,4.099999999999997397e-02,4.005004881833441743e+01,4.579538400456420141e-08,1.076286877584582371e-04,4.099935333200011023e-02,9.198057057015263105e-01,9.573138205462504713e-01,8.199935333200009113e-02
0.000000000000000000e+00,9.010000000000000231e-01,4.199999999999997485e-02,4.047084451441108399e+01,4.736369864742006059e-08,1.093555539378034358e-04,4.099935333200011023e-02,9.214291414608520858e-01,9.574040880642505913e-01,8.299935333200009202e-02
0.000000000000000000e+00,9.010000000000000231e-01,4.299999999999997574e-02,4.078794983774824345e+01,4.856580186661057760e-08,1.119542589960044720e-04,4.099935333200011023e-02,9.238913872387626292e-01,9.538683859129744036e-01,8.399935333200009291e-02
0.000000000000000000e+00,9.010000000000000231e-01,4.399999999999997663e-02,4.125952608795306276e+01,5.038507877067236052e-08,1.132187584798889619e-04,4.099935333200011023e-02,9.246629973538408320e-01,9.554552581762654206e-01,8.499935333200009380e-02
0.000000000000000000e+00,9.010000000000000231e-01,4.499999999999997058e-02,4.176010969439672493e+01,5.235496827390365881e-08,1.142419464322124329e-04,4.099935333200011023e-02,9.250234713260303554e-01,9.573333937483727851e-01,8.599935333200008081e-02
0.000000000000000000e+00,9.010000000000000231e-01,4.599999999999997147e-02,4.214171740151421375e+01,5.388421455502065812e-08,1.162682537036186252e-04,4.099935333200011023e-02,9.265588819875776316e-01,9.562468922791292902e-01,8.699935333200008170e-02
0.000000000000000000e+00,9.010000000000000231e-01,4.699999999999997236e-02,4.246518073455545306e+01,5.520066365111328113e-08,1.188108426971869701e-04,4.099935333200011023e-02,9.284922479902841808e-01,9.531077564517937972e-01,8.799935333200008258e-02
0.000000000000000000e+00,9.010000000000000231e-01,4.799999999999996630e-02,4.282782526646322196e+01,5.669894902863841950e-08,1.209816338263345698e-04,4.099935333200011023e-02,9.299487827909099780e-01,9.519042697799212638e-01,8.899935333200006959e-02
0.000000000000000000e+00,9.010000000000000231e-01,4.899999999999996719e-02,4.322543446428550595e+01,5.836794593929674155e-08,1.228230294537877292e-04,4.099935333200011023e-02,9.309721393999226269e-01,9.519472155548428516e-01,8.999935333200007048e-02
0.000000000000000000e+00,9.020000000000000240e-01,1.000000000000000021e-02,4.242572126445568159e+01,6.262483910410014233e-08,9.788161311477103688e-05,4.999741250000000470e-02,9.273912856106123481e-01,9.467382104637797058e-01,5.999741250000000664e-02
