Overpotential / V,Current / A,Tafel
1.760000000000001563e-01,1.346999999999999944e-04,-3.870632404277014604e+00
1.770000000000000462e-01,1.303999999999999983e-04,-3.884722408604098565e+00
1.779999999999999361e-01,1.274000000000000067e-04,-3.894830572000668401e+00
1.790000000000000480e-01,1.229000000000000058e-04,-3.910448117113545674e+00
1.800000000000001599e-01,1.201000000000000055e-04,-3.920456992597094015e+00
1.810000000000000497e-01,1.169000000000000090e-04,-3.932185488838159770e+00
1.819999999999999396e-01,1.140000000000000063e-04,-3.943095148663527283e+00
1.830000000000000515e-01,1.111999999999999924e-04,-3.953895212753961275e+00
1.840000000000001634e-01,1.083999999999999921e-04,-3.964970717797632105e+00
1.850000000000000533e-01,1.062000000000000064e-04,-3.973875483254549756e+00
1.859999999999999432e-01,1.039000000000000047e-04,-3.983384452442822354e+00
1.870000000000000551e-01,1.010999999999999909e-04,-3.995248844408998856e+00
1.880000000000001670e-01,9.975000000000001227e-05,-4.001087095641214120e+00
1.890000000000000568e-01,9.733000000000000494e-05,-4.011753276624621556e+00
1.899999999999999467e-01,9.583999999999999041e-05,-4.018453194954763497e+00
1.910000000000000586e-01,9.334000000000001096e-05,-4.029932203450862893e+00
1.920000000000001705e-01,9.139000000000000422e-05,-4.039101322673339212e+00
1.930000000000000604e-01,8.967000000000000036e-05,-4.047352830241057298e+00
1.939999999999999503e-01,8.849999999999999631e-05,-4.053056729302174865e+00
1.950000000000000622e-01,8.647000000000000389e-05,-4.063134541024377100e+00
1.960000000000001741e-01,8.553000000000000273e-05,-4.067881527970877542e+00
1.970000000000000639e-01,8.475000000000001358e-05,-4.071860293124879959e+00
1.979999999999999538e-01,8.247999999999999635e-05,-4.083651347724539526e+00
1.990000000000000657e-01,8.194000000000000491e-05,-4.086504040382876290e+00
2.000000000000001776e-01,8.069000000000000163e-05,-4.093180284533454838e+00
2.010000000000000675e-01,7.959000000000000200e-05,-4.099141495298008309e+00
2.019999999999999574e-01,7.904999999999999701e-05,-4.102098125731772349e+00
2.030000000000000693e-01,7.749000000000000516e-05,-4.110754339107020705e+00
2.040000000000001812e-01,7.686000000000000611e-05,-4.114299619871670366e+00
2.050000000000000711e-01,7.545000000000000437e-05,-4.122340755888391328e+00
2.059999999999999609e-01,7.451999999999999803e-05,-4.127727153775794910e+00
2.070000000000000728e-01,7.405000000000001100e-05,-4.130474937142772696e+00
2.080000000000001847e-01,7.373999999999999533e-05,-4.132296866729902263e+00
2.090000000000000746e-01,7.255999999999999646e-05,-4.139302725947961115e+00
2.099999999999999645e-01,7.280000000000000772e-05,-4.137868620686962373e+00
2.110000000000000764e-01,7.280000000000000772e-05,-4.137868620686962373e+00
2.120000000000001883e-01,7.108000000000000386e-05,-4.148252580866736317e+00
2.130000000000000782e-01,7.013999999999998914e-05,-4.154034238454515915e+00
2.139999999999999680e-01,6.943999999999999923e-05,-4.158390287831564613e+00
2.150000000000000799e-01,6.936000000000000000e-05,-4.158890915531846311e+00
2.160000000000001918e-01,6.904999999999999788e-05,-4.160836317085349734e+00
2.170000000000000817e-01,6.796000000000000662e-05,-4.167746629802992153e+00
2.179999999999999716e-01,6.796000000000000662e-05,-4.167746629802992153e+00
2.190000000000000835e-01,6.701999999999999191e-05,-4.173795576500747728e+00
2.200000000000001954e-01,6.593000000000000065e-05,-4.180916924256297129e+00
2.210000000000000853e-01,6.593000000000000065e-05,-4.180916924256297129e+00
2.219999999999999751e-01,6.632000000000000200e-05,-4.178355482457782877e+00
2.230000000000000870e-01,6.546000000000000007e-05,-4.184023999028014806e+00
2.240000000000001990e-01,6.475000000000000178e-05,-4.188760227246710599e+00
2.250000000000000888e-01,6.382000000000000899e-05,-4.195043200142507978e+00
2.259999999999999787e-01,6.467999999999999737e-05,-4.189229988765636570e+00
2.270000000000000906e-01,6.365999999999999697e-05,-4.196133365715016161e+00
2.280000000000002025e-01,6.365999999999999697e-05,-4.196133365715016161e+00
2.290000000000000924e-01,6.310999999999999715e-05,-4.199901819825224258e+00
2.299999999999999822e-01,6.288000000000000783e-05,-4.201487466968648832e+00
2.310000000000000941e-01,6.257000000000000571e-05,-4.203633845022478610e+00
2.320000000000002061e-01,6.248999999999999293e-05,-4.204189475332591464e+00
2.330000000000000959e-01,6.218000000000000436e-05,-4.206349282292826786e+00
2.339999999999999858e-01,6.210000000000000513e-05,-4.206908399823420019e+00
2.350000000000000977e-01,6.146999999999999253e-05,-4.211336786879142480e+00
2.360000000000002096e-01,6.171000000000000378e-05,-4.209644453585613455e+00
2.370000000000000995e-01,6.108000000000000473e-05,-4.214100971615616587e+00
2.379999999999999893e-01,6.139000000000000685e-05,-4.211902366619702853e+00
2.390000000000001013e-01,6.085000000000000185e-05,-4.215739417433916003e+00
2.400000000000002132e-01,6.038000000000000127e-05,-4.219106891312921270e+00
2.410000000000001030e-01,6.053999999999999974e-05,-4.217957583379446262e+00
2.419999999999999929e-01,6.163000000000000455e-05,-4.210207832269324157e+00
2.430000000000001048e-01,6.069000000000000338e-05,-4.216882862509533147e+00
2.440000000000002167e-01,6.030000000000000204e-05,-4.219682687859848791e+00
2.450000000000001066e-01,5.998999999999999992e-05,-4.221921138062545431e+00
2.459999999999999964e-01,6.060999999999999737e-05,-4.217455715989990139e+00
2.470000000000001084e-01,6.053999999999999974e-05,-4.217957583379446262e+00
2.480000000000002203e-01,6.022000000000000280e-05,-4.220259248823259313e+00
2.490000000000001101e-01,5.983000000000000145e-05,-4.223080997157953931e+00
2.500000000000000000e-01,6.093000000000000109e-05,-4.215168821875530547e+00
2.510000000000001119e-01,5.998999999999999992e-05,-4.221921138062545431e+00
2.520000000000002238e-01,6.038000000000000127e-05,-4.219106891312921270e+00
2.530000000000001137e-01,6.038000000000000127e-05,-4.219106891312921270e+00
2.540000000000000036e-01,6.108000000000000473e-05,-4.214100971615616587e+00
2.550000000000001155e-01,6.093000000000000109e-05,-4.215168821875530547e+00
2.560000000000002274e-01,6.108000000000000473e-05,-4.214100971615616587e+00
2.570000000000001172e-01,6.116000000000000397e-05,-4.213532523259717166e+00
2.580000000000000071e-01,6.194000000000000666e-05,-4.208028798979231766e+00
2.590000000000001190e-01,6.179000000000000302e-05,-4.209081804785421710e+00
2.600000000000002309e-01,6.241000000000000724e-05,-4.204745817419117238e+00
2.610000000000001208e-01,6.310999999999999715e-05,-4.199901819825224258e+00
2.620000000000000107e-01,6.349999999999999850e-05,-4.197226274708024008e+00
2.629999999999999005e-01,6.318999999999999639e-05,-4.199351644636012182e+00
2.640000000000000124e-01,6.428000000000000120e-05,-4.191924131908693063e+00
2.650000000000001243e-01,6.413000000000001111e-05,-4.192938760082761007e+00
2.660000000000000142e-01,6.553000000000000448e-05,-4.183559832043861171e+00
2.669999999999999041e-01,6.632000000000000200e-05,-4.178355482457782877e+00
2.680000000000000160e-01,6.733000000000000757e-05,-4.171791385532054974e+00
2.690000000000001279e-01,6.811000000000001027e-05,-4.166789119717391188e+00
2.700000000000000178e-01,6.889000000000001297e-05,-4.161843815247852518e+00
2.709999999999999076e-01,6.928000000000000076e-05,-4.159392120990709429e+00
2.720000000000000195e-01,7.091999999999999184e-05,-4.149231273071119830e+00
2.730000000000001315e-01,7.224999999999999435e-05,-4.141162148571414292e+00
2.740000000000000213e-01,7.380999999999999974e-05,-4.131884794672783023e+00
