Overpotential / V,Current / A,Tafel
2.999951499899999874e-02,2.343000000000000003e-07,-6.630227711403037461e+00
3.299919166500009382e-02,3.905000000000000093e-07,-6.408378961786680428e+00
3.499919166500009560e-02,3.905000000000000093e-07,-6.408378961786680428e+00
3.599919166499998546e-02,3.905000000000000093e-07,-6.408378961786680428e+00
3.899967666600012706e-02,1.562000000000000090e-07,-6.806318970458718809e+00
3.999983833300002622e-02,7.810000000000000451e-08,-7.107348966122700062e+00
4.099935333200011023e-02,3.124000000000000181e-07,-6.505288974794737555e+00
4.199886812399999947e-02,5.467999999999999994e-07,-6.262171494104215697e+00
4.299951499900012131e-02,2.343000000000000003e-07,-6.630227711403037461e+00
4.399919166499999257e-02,3.905000000000000093e-07,-6.408378961786680428e+00
4.499902979099990041e-02,4.687000000000000081e-07,-6.329105046479789998e+00
4.599919166499999434e-02,3.905000000000000093e-07,-6.408378961786680428e+00
4.699838312300008702e-02,7.811000000000000262e-07,-6.107293362194334385e+00
4.799805978899995829e-02,9.373000000000000087e-07,-6.028121382973734121e+00
4.899757395999992937e-02,1.172000000000000171e-06,-5.931072388317928379e+00
4.999741250000000470e-02,1.250000000000000102e-06,-5.903089986991943761e+00
5.099838312300009058e-02,7.811000000000000262e-07,-6.107293362194334385e+00
5.199822145599997114e-02,8.591999999999999645e-07,-6.065905731644519960e+00
5.299757395999993292e-02,1.172000000000000171e-06,-5.931072388317928379e+00
5.399757396000004483e-02,1.172000000000000171e-06,-5.931072388317928379e+00
5.499741250000012016e-02,1.250000000000000102e-06,-5.903089986991943761e+00
5.599676666000008574e-02,1.562000000000000037e-06,-5.806318970458718809e+00
5.699741249999989989e-02,1.250000000000000102e-06,-5.903089986991943761e+00
5.799708958000016068e-02,1.405999999999999964e-06,-5.852014679316194901e+00
5.899708958000027259e-02,1.405999999999999964e-06,-5.852014679316194901e+00
5.999644374000001612e-02,1.717999999999999899e-06,-5.764976840504776767e+00
6.099676665999997915e-02,1.562000000000000037e-06,-5.806318970458718809e+00
6.199628021000003208e-02,1.797000000000000117e-06,-5.745451922891025909e+00
6.299579583000025629e-02,2.030999999999999697e-06,-5.692290076595193149e+00
6.399547291000007299e-02,2.186999999999999983e-06,-5.660151216962362675e+00
6.499547290999996285e-02,2.186999999999999983e-06,-5.660151216962362675e+00
6.599450208000012807e-02,2.656000000000000066e-06,-5.575771929304019991e+00
6.699482500000009111e-02,2.500000000000000205e-06,-5.602059991327962507e+00
6.799498852999996679e-02,2.421000000000000199e-06,-5.616005210558267180e+00
6.899434061999998313e-02,2.733999999999999997e-06,-5.563201489768196950e+00
6.999417916000005846e-02,2.811999999999999928e-06,-5.550984683652213647e+00
7.099417916000017037e-02,2.811999999999999928e-06,-5.550984683652213647e+00
7.199385623999998707e-02,2.968000000000000213e-06,-5.527536103393010158e+00
7.299320833000000341e-02,3.281000000000000011e-06,-5.483993769613952018e+00
7.399336979000015191e-02,3.203000000000000081e-06,-5.494443061336178324e+00
