Reference electrode potential (V vs. RHE),0.929,,,,
Working area (cm²),2,,,,
Solution resistance (ohm),2.3,Compensation level (%),90,,
,,,,,
File,Point,Original Potential,Original Current,"Potential (V vs. RHE, iR-corrected)",Current density
,,V,mA,"V vs. RHE, iR-corrected",mA/cm²
Ni_foil_LSV 2.3 ohm.txt,58,0.057,-0.007577,0.986015684,-0.0037885
Ni_foil_LSV 2.3 ohm.txt,59,0.058,-0.007499,0.987015523,-0.0037495
Ni_foil_LSV 2.3 ohm.txt,60,0.059,-0.007499,0.988015523,-0.0037495
Ni_foil_LSV 2.3 ohm.txt,61,0.06,-0.00742,0.989015359,-0.00371
Ni_foil_LSV 2.3 ohm.txt,62,0.061,-0.007811,0.990016169,-0.0039055
Ni_foil_LSV 2.3 ohm.txt,63,0.062,-0.008045,0.991016653,-0.0040225
Ni_foil_LSV 2.3 ohm.txt,64,0.063,-0.007889,0.99201633,-0.0039445
Ni_foil_LSV 2.3 ohm.txt,65,0.064,-0.007889,0.99301633,-0.0039445
Ni_foil_LSV 2.3 ohm.txt,66,0.065,-0.007733,0.994016007,-0.0038665
Ni_foil_LSV 2.3 ohm.txt,67,0.066,-0.007108,0.995014714,-0.003554
Ni_foil_LSV 2.3 ohm.txt,68,0.067,-0.007108,0.996014714,-0.003554
Ni_foil_LSV 2.3 ohm.txt,69,0.068,-0.007186,0.997014875,-0.003593
Ni_foil_LSV 2.3 ohm.txt,70,0.069,-0.007186,0.998014875,-0.003593
Ni_foil_LSV 2.3 ohm.txt,71,0.07,-0.006796,0.999014068,-0.003398
Ni_foil_LSV 2.3 ohm.txt,72,0.071,-0.007186,1.000014875,-0.003593
Ni_foil_LSV 2.3 ohm.txt,73,0.072,-0.007499,1.001015523,-0.0037495
Ni_foil_LSV 2.3 ohm.txt,74,0.073,-0.00742,1.002015359,-0.00371
Ni_foil_LSV 2.3 ohm.txt,75,0.074,-0.007577,1.003015684,-0.0037885
Ni_foil_LSV 2.3 ohm.txt,76,0.075,-0.006952,1.004014391,-0.003476
Ni_foil_LSV 2.3 ohm.txt,77,0.076,-0.007655,1.005015846,-0.0038275
Ni_foil_LSV 2.3 ohm.txt,78,0.077,-0.007733,1.006016007,-0.0038665
Ni_foil_LSV 2.3 ohm.txt,79,0.078,-0.007889,1.00701633,-0.0039445
Ni_foil_LSV 2.3 ohm.txt,80,0.079,-0.007655,1.008015846,-0.0038275
Ni_foil_LSV 2.3 ohm.txt,81,0.08,-0.007342,1.009015198,-0.003671
Ni_foil_LSV 2.3 ohm.txt,82,0.081,-0.007499,1.010015523,-0.0037495
Ni_foil_LSV 2.3 ohm.txt,83,0.082,-0.00742,1.011015359,-0.00371
Ni_foil_LSV 2.3 ohm.txt,84,0.083,-0.00742,1.012015359,-0.00371
Ni_foil_LSV 2.3 ohm.txt,85,0.084,-0.00742,1.013015359,-0.00371
Ni_foil_LSV 2.3 ohm.txt,86,0.085,-0.007655,1.014015846,-0.0038275
Ni_foil_LSV 2.3 ohm.txt,87,0.086,-0.007186,1.015014875,-0.003593
Ni_foil_LSV 2.3 ohm.txt,88,0.087,-0.007108,1.016014714,-0.003554
Ni_foil_LSV 2.3 ohm.txt,89,0.088,-0.007577,1.017015684,-0.0037885
Ni_foil_LSV 2.3 ohm.txt,90,0.089,-0.007499,1.018015523,-0.0037495
Ni_foil_LSV 2.3 ohm.txt,91,0.09,-0.007889,1.01901633,-0.0039445
Ni_foil_LSV 2.3 ohm.txt,92,0.091,-0.007499,1.020015523,-0.0037495
Ni_foil_LSV 2.3 ohm.txt,93,0.092,-0.007499,1.021015523,-0.0037495
Ni_foil_LSV 2.3 ohm.txt,94,0.093,-0.007655,1.022015846,-0.0038275
Ni_foil_LSV 2.3 ohm.txt,95,0.094,-0.00742,1.023015359,-0.00371
Ni_foil_LSV 2.3 ohm.txt,96,0.095,-0.007342,1.024015198,-0.003671
Ni_foil_LSV 2.3 ohm.txt,97,0.096,-0.008123,1.025016815,-0.0040615
Ni_foil_LSV 2.3 ohm.txt,98,0.097,-0.007499,1.026015523,-0.0037495
Ni_foil_LSV 2.3 ohm.txt,99,0.098,-0.007264,1.027015036,-0.003632
Ni_foil_LSV 2.3 ohm.txt,100,0.099,-0.00703,1.028014552,-0.003515
Ni_foil_LSV 2.3 ohm.txt,101,0.1,-0.007499,1.029015523,-0.0037495
Ni_foil_LSV 2.3 ohm.txt,102,0.101,-0.007342,1.030015198,-0.003671
Ni_foil_LSV 2.3 ohm.txt,103,0.102,-0.00742,1.031015359,-0.00371
Ni_foil_LSV 2.3 ohm.txt,104,0.103,-0.007577,1.032015684,-0.0037885
Ni_foil_LSV 2.3 ohm.txt,105,0.104,-0.007342,1.033015198,-0.003671
Ni_foil_LSV 2.3 ohm.txt,106,0.105,-0.006874,1.034014229,-0.003437
Ni_foil_LSV 2.3 ohm.txt,107,0.106,-0.00742,1.035015359,-0.00371
Ni_foil_LSV 2.3 ohm.txt,108,0.107,-0.007342,1.036015198,-0.003671
Ni_foil_LSV 2.3 ohm.txt,109,0.108,-0.007499,1.037015523,-0.0037495
Ni_foil_LSV 2.3 ohm.txt,110,0.109,-0.006952,1.038014391,-0.003476
