Mode,Chronopotentiometry,,
Applied current (A),0.02,,
Applied potential (V),,,
Time (s),1800,,
Reference electrode potential (V vs. RHE),0.929,,
Working area (cm^2),2,,
Applied current density (mA/cm^2),10,,
Solution resistance (ohm),2.3,Compensation level (%),0
,,,
Time,Original Potential,Potential,
sec,V,"V vs. RHE, iR-corrected",
456.8,0.8133,1.7423,
456.9,0.8133,1.7423,
457,0.8132,1.7422,
457.1,0.8133,1.7423,
457.2,0.8133,1.7423,
457.3,0.8133,1.7423,
457.4,0.8133,1.7423,
457.5,0.8133,1.7423,
457.6,0.8132,1.7422,
457.7,0.8131,1.7421,
457.8,0.8132,1.7422,
457.9,0.8133,1.7423,
458,0.8133,1.7423,
458.1,0.8133,1.7423,
458.2,0.8133,1.7423,
458.3,0.8133,1.7423,
458.4,0.8133,1.7423,
458.5,0.8133,1.7423,
458.6,0.8133,1.7423,
458.7,0.8133,1.7423,
458.8,0.8133,1.7423,
458.9,0.8134,1.7424,
459,0.8134,1.7424,
459.1,0.8134,1.7424,
459.2,0.8134,1.7424,
459.3,0.8134,1.7424,
459.4,0.8134,1.7424,
459.5,0.8134,1.7424,
459.6,0.8134,1.7424,
459.7,0.8133,1.7423,
459.8,0.8134,1.7424,
459.9,0.8135,1.7425,
460,0.8135,1.7425,
460.1,0.8135,1.7425,
460.2,0.8135,1.7425,
460.3,0.8135,1.7425,
460.4,0.8135,1.7425,
460.5,0.8135,1.7425,
460.6,0.8135,1.7425,
460.7,0.8135,1.7425,
460.8,0.8135,1.7425,
460.9,0.8135,1.7425,
461,0.8135,1.7425,
461.1,0.8136,1.7426,
461.2,0.8135,1.7425,
461.3,0.8135,1.7425,
461.4,0.8135,1.7425,
461.5,0.8134,1.7424,
461.6,0.8135,1.7425,
461.7,0.8135,1.7425,
461.8,0.8135,1.7425,
461.9,0.8135,1.7425,
462,0.8135,1.7425,
462.1,0.8135,1.7425,
462.2,0.8135,1.7425,
462.3,0.8135,1.7425,
462.4,0.8136,1.7426,
462.5,0.8135,1.7425,
462.6,0.8136,1.7426,
462.7,0.8136,1.7426,
462.8,0.8136,1.7426,
462.9,0.8136,1.7426,
463,0.8136,1.7426,
463.1,0.8136,1.7426,
463.2,0.8136,1.7426,
463.3,0.8136,1.7426,
463.4,0.8136,1.7426,
463.5,0.8137,1.7427,
463.6,0.8137,1.7427,
463.7,0.8137,1.7427,
463.8,0.8137,1.7427,
463.9,0.8136,1.7426,
464,0.8136,1.7426,
464.1,0.8137,1.7427,
464.2,0.8137,1.7427,
464.3,0.8138,1.7428,
464.4,0.8137,1.7427,
464.5,0.8137,1.7427,
464.6,0.8137,1.7427,
464.7,0.8138,1.7428,
464.8,0.8137,1.7427,
464.9,0.8137,1.7427,
465,0.8136,1.7426,
465.1,0.8137,1.7427,
465.2,0.8137,1.7427,
465.3,0.8136,1.7426,
465.4,0.8137,1.7427,
465.5,0.8137,1.7427,
465.6,0.8137,1.7427,
465.7,0.8137,1.7427,
465.8,0.8137,1.7427,
465.9,0.8137,1.7427,
466,0.8138,1.7428,
466.1,0.8137,1.7427,
466.2,0.8137,1.7427,
466.3,0.8138,1.7428,
466.4,0.8137,1.7427,
466.5,0.8137,1.7427,
466.6,0.8138,1.7428,
466.7,0.8138,1.7428,
466.8,0.8138,1.7428,
466.9,0.8138,1.7428,
467,0.8139,1.7429,
467.1,0.8138,1.7428,
467.2,0.8139,1.7429,
467.3,0.8139,1.7429,
467.4,0.8138,1.7428,
467.5,0.8139,1.7429,
467.6,0.8139,1.7429,
467.7,0.8139,1.7429,
467.8,0.8139,1.7429,
467.9,0.8139,1.7429,
468,0.8139,1.7429,
468.1,0.8139,1.7429,
468.2,0.8139,1.7429,
468.3,0.8139,1.7429,
468.4,0.8139,1.7429,
468.5,0.8139,1.7429,
468.6,0.8139,1.7429,
468.7,0.8139,1.7429,
468.8,0.8139,1.7429,
468.9,0.8139,1.7429,
469,0.8139,1.7429,
469.1,0.8139,1.7429,
469.2,0.8139,1.7429,
469.3,0.8139,1.7429,
469.4,0.8139,1.7429,
469.5,0.8139,1.7429,
469.6,0.8139,1.7429,
469.7,0.8139,1.7429,
469.8,0.8139,1.7429,
469.9,0.8139,1.7429,
470,0.8139,1.7429,
470.1,0.814,1.743,
470.2,0.8139,1.7429,
470.3,0.814,1.743,
470.4,0.814,1.743,
470.5,0.8139,1.7429,
470.6,0.814,1.743,
470.7,0.814,1.743,
470.8,0.814,1.743,
470.9,0.8141,1.7431,
471,0.8141,1.7431,
471.1,0.8141,1.7431,
471.2,0.8141,1.7431,
471.3,0.8141,1.7431,
471.4,0.8141,1.7431,
471.5,0.8141,1.7431,
471.6,0.8141,1.7431,
471.7,0.8141,1.7431,
471.8,0.8141,1.7431,
471.9,0.8141,1.7431,
472,0.8141,1.7431,
472.1,0.814,1.743,
472.2,0.814,1.743,
472.3,0.8141,1.7431,
472.4,0.814,1.743,
472.5,0.8141,1.7431,
472.6,0.8141,1.7431,
472.7,0.8141,1.7431,
472.8,0.8141,1.7431,
472.9,0.8142,1.7432,
473,0.8142,1.7432,
473.1,0.8142,1.7432,
473.2,0.8142,1.7432,
473.3,0.8142,1.7432,
473.4,0.8141,1.7431,
473.5,0.8142,1.7432,
473.6,0.8142,1.7432,
473.7,0.8142,1.7432,
473.8,0.8142,1.7432,
473.9,0.8142,1.7432,
474,0.8142,1.7432,
474.1,0.8142,1.7432,
474.2,0.8143,1.7433,
474.3,0.8143,1.7433,
474.4,0.8143,1.7433,
474.5,0.8143,1.7433,
474.6,0.8143,1.7433,
474.7,0.8144,1.7434,
474.8,0.8143,1.7433,
474.9,0.8143,1.7433,
475,0.8143,1.7433,
475.1,0.8144,1.7434,
475.2,0.8144,1.7434,
475.3,0.8144,1.7434,
475.4,0.8144,1.7434,
475.5,0.8143,1.7433,
475.6,0.8142,1.7432,
475.7,0.8142,1.7432,
475.8,0.8143,1.7433,
475.9,0.8143,1.7433,
476,0.8143,1.7433,
476.1,0.8143,1.7433,
476.2,0.8143,1.7433,
476.3,0.8142,1.7432,
476.4,0.8143,1.7433,
476.5,0.8142,1.7432,
476.6,0.8143,1.7433,
476.7,0.8143,1.7433,
476.8,0.8143,1.7433,
476.9,0.8143,1.7433,
477,0.8143,1.7433,
477.1,0.8142,1.7432,
477.2,0.8143,1.7433,
477.3,0.8143,1.7433,
477.4,0.8143,1.7433,
477.5,0.8143,1.7433,
477.6,0.8143,1.7433,
477.7,0.8144,1.7434,
477.8,0.8144,1.7434,
477.9,0.8144,1.7434,
478,0.8144,1.7434,
478.1,0.8144,1.7434,
478.2,0.8144,1.7434,
478.3,0.8143,1.7433,
478.4,0.8144,1.7434,
478.5,0.8144,1.7434,
478.6,0.8144,1.7434,
478.7,0.8144,1.7434,
478.8,0.8144,1.7434,
478.9,0.8144,1.7434,
479,0.8144,1.7434,
479.1,0.8144,1.7434,
479.2,0.8144,1.7434,
479.3,0.8143,1.7433,
479.4,0.8143,1.7433,
479.5,0.8143,1.7433,
479.6,0.8143,1.7433,
479.7,0.8144,1.7434,
479.8,0.8144,1.7434,
479.9,0.8144,1.7434,
480,0.8144,1.7434,
480.1,0.8144,1.7434,
480.2,0.8144,1.7434,
480.3,0.8144,1.7434,
480.4,0.8145,1.7435,
480.5,0.8145,1.7435,
480.6,0.8145,1.7435,
480.7,0.8145,1.7435,
480.8,0.8145,1.7435,
480.9,0.8145,1.7435,
481,0.8145,1.7435,
481.1,0.8145,1.7435,
481.2,0.8145,1.7435,
481.3,0.8145,1.7435,
481.4,0.8145,1.7435,
481.5,0.8145,1.7435,
481.6,0.8146,1.7436,
481.7,0.8146,1.7436,
481.8,0.8146,1.7436,
481.9,0.8146,1.7436,
482,0.8146,1.7436,
482.1,0.8146,1.7436,
482.2,0.8145,1.7435,
482.3,0.8146,1.7436,
482.4,0.8147,1.7437,
482.5,0.8146,1.7436,
482.6,0.8147,1.7437,
482.7,0.8147,1.7437,
482.8,0.8147,1.7437,
482.9,0.8147,1.7437,
483,0.8147,1.7437,
483.1,0.8147,1.7437,
483.2,0.8147,1.7437,
483.3,0.8147,1.7437,
483.4,0.8147,1.7437,
483.5,0.8147,1.7437,
483.6,0.8147,1.7437,
483.7,0.8147,1.7437,
483.8,0.8147,1.7437,
483.9,0.8147,1.7437,
484,0.8147,1.7437,
484.1,0.8148,1.7438,
484.2,0.8147,1.7437,
484.3,0.8148,1.7438,
484.4,0.8147,1.7437,
484.5,0.8147,1.7437,
484.6,0.8148,1.7438,
484.7,0.8148,1.7438,
484.8,0.8148,1.7438,
484.9,0.8148,1.7438,
485,0.8148,1.7438,
485.1,0.8148,1.7438,
485.2,0.8148,1.7438,
485.3,0.8148,1.7438,
485.4,0.8148,1.7438,
485.5,0.8149,1.7439,
485.6,0.8149,1.7439,
485.7,0.8149,1.7439,
485.8,0.8149,1.7439,
485.9,0.8148,1.7438,
486,0.8148,1.7438,
486.1,0.8148,1.7438,
486.2,0.8149,1.7439,
486.3,0.8149,1.7439,
486.4,0.8149,1.7439,
486.5,0.8148,1.7438,
486.6,0.8148,1.7438,
486.7,0.8149,1.7439,
486.8,0.8149,1.7439,
486.9,0.8149,1.7439,
487,0.8149,1.7439,
487.1,0.8149,1.7439,
487.2,0.8149,1.7439,
487.3,0.8149,1.7439,
487.4,0.8149,1.7439,
487.5,0.8149,1.7439,
487.6,0.815,1.744,
487.7,0.815,1.744,
487.8,0.815,1.744,
487.9,0.815,1.744,
488,0.815,1.744,
488.1,0.815,1.744,
488.2,0.815,1.744,
488.3,0.815,1.744,
488.4,0.815,1.744,
488.5,0.8149,1.7439,
488.6,0.815,1.744,
488.7,0.815,1.744,
488.8,0.815,1.744,
488.9,0.815,1.744,
489,0.815,1.744,
489.1,0.815,1.744,
489.2,0.815,1.744,
489.3,0.815,1.744,
489.4,0.815,1.744,
489.5,0.815,1.744,
489.6,0.815,1.744,
489.7,0.8151,1.7441,
489.8,0.8151,1.7441,
489.9,0.815,1.744,
490,0.8151,1.7441,
490.1,0.8151,1.7441,
490.2,0.8151,1.7441,
490.3,0.8152,1.7442,
490.4,0.8152,1.7442,
490.5,0.8152,1.7442,
490.6,0.8153,1.7443,
490.7,0.8152,1.7442,
490.8,0.8152,1.7442,
490.9,0.8152,1.7442,
491,0.8151,1.7441,
491.1,0.8152,1.7442,
491.2,0.8152,1.7442,
491.3,0.8152,1.7442,
491.4,0.8153,1.7443,
491.5,0.8152,1.7442,
491.6,0.8152,1.7442,
491.7,0.8152,1.7442,
491.8,0.8151,1.7441,
491.9,0.8151,1.7441,
492,0.8151,1.7441,
492.1,0.8152,1.7442,
492.2,0.8152,1.7442,
492.3,0.8151,1.7441,
492.4,0.8152,1.7442,
492.5,0.8152,1.7442,
492.6,0.8152,1.7442,
492.7,0.8152,1.7442,
492.8,0.8152,1.7442,
492.9,0.8152,1.7442,
493,0.8152,1.7442,
493.1,0.8153,1.7443,
493.2,0.8152,1.7442,
493.3,0.8151,1.7441,
493.4,0.8152,1.7442,
493.5,0.8153,1.7443,
493.6,0.8153,1.7443,
493.7,0.8152,1.7442,
493.8,0.8152,1.7442,
493.9,0.8152,1.7442,
494,0.8152,1.7442,
494.1,0.8152,1.7442,
494.2,0.8152,1.7442,
494.3,0.8152,1.7442,
494.4,0.8153,1.7443,
494.5,0.8153,1.7443,
494.6,0.8153,1.7443,
494.7,0.8153,1.7443,
494.8,0.8154,1.7444,
494.9,0.8153,1.7443,
495,0.8153,1.7443,
495.1,0.8153,1.7443,
495.2,0.8153,1.7443,
495.3,0.8153,1.7443,
495.4,0.8153,1.7443,
495.5,0.8153,1.7443,
495.6,0.8154,1.7444,
495.7,0.8153,1.7443,
495.8,0.8153,1.7443,
495.9,0.8153,1.7443,
496,0.8153,1.7443,
496.1,0.8154,1.7444,
496.2,0.8153,1.7443,
496.3,0.8153,1.7443,
496.4,0.8154,1.7444,
496.5,0.8154,1.7444,
496.6,0.8154,1.7444,
496.7,0.8154,1.7444,
496.8,0.8154,1.7444,
496.9,0.8154,1.7444,
497,0.8154,1.7444,
497.1,0.8154,1.7444,
497.2,0.8154,1.7444,
497.3,0.8155,1.7445,
497.4,0.8155,1.7445,
497.5,0.8155,1.7445,
497.6,0.8155,1.7445,
497.7,0.8155,1.7445,
497.8,0.8154,1.7444,
497.9,0.8155,1.7445,
498,0.8155,1.7445,
498.1,0.8155,1.7445,
498.2,0.8155,1.7445,
498.3,0.8155,1.7445,
498.4,0.8155,1.7445,
498.5,0.8154,1.7444,
498.6,0.8154,1.7444,
498.7,0.8154,1.7444,
498.8,0.8154,1.7444,
498.9,0.8154,1.7444,
499,0.8155,1.7445,
499.1,0.8155,1.7445,
499.2,0.8155,1.7445,
499.3,0.8155,1.7445,
499.4,0.8156,1.7446,
499.5,0.8156,1.7446,
499.6,0.8155,1.7445,
499.7,0.8155,1.7445,
499.8,0.8155,1.7445,
499.9,0.8154,1.7444,
500,0.8155,1.7445,
500.1,0.8155,1.7445,
500.2,0.8155,1.7445,
500.3,0.8155,1.7445,
500.4,0.8155,1.7445,
500.5,0.8155,1.7445,
500.6,0.8155,1.7445,
500.7,0.8155,1.7445,
500.8,0.8155,1.7445,
500.9,0.8155,1.7445,
501,0.8155,1.7445,
501.1,0.8156,1.7446,
501.2,0.8155,1.7445,
501.3,0.8156,1.7446,
501.4,0.8157,1.7447,
501.5,0.8156,1.7446,
501.6,0.8156,1.7446,
501.7,0.8157,1.7447,
501.8,0.8156,1.7446,
501.9,0.8155,1.7445,
502,0.8156,1.7446,
502.1,0.8156,1.7446,
502.2,0.8156,1.7446,
502.3,0.8156,1.7446,
502.4,0.8156,1.7446,
502.5,0.8155,1.7445,
502.6,0.8155,1.7445,
502.7,0.8155,1.7445,
502.8,0.8155,1.7445,
502.9,0.8155,1.7445,
503,0.8155,1.7445,
503.1,0.8155,1.7445,
503.2,0.8156,1.7446,
503.3,0.8156,1.7446,
503.4,0.8156,1.7446,
503.5,0.8156,1.7446,
503.6,0.8157,1.7447,
503.7,0.8157,1.7447,
503.8,0.8157,1.7447,
503.9,0.8157,1.7447,
504,0.8157,1.7447,
504.1,0.8157,1.7447,
504.2,0.8157,1.7447,
504.3,0.8157,1.7447,
504.4,0.8157,1.7447,
504.5,0.8157,1.7447,
504.6,0.8157,1.7447,
504.7,0.8157,1.7447,
504.8,0.8158,1.7448,
504.9,0.8158,1.7448,
505,0.8158,1.7448,
505.1,0.8158,1.7448,
505.2,0.8157,1.7447,
505.3,0.8157,1.7447,
505.4,0.8158,1.7448,
505.5,0.8158,1.7448,
505.6,0.8158,1.7448,
505.7,0.8158,1.7448,
505.8,0.8158,1.7448,
505.9,0.8158,1.7448,
506,0.8158,1.7448,
506.1,0.8158,1.7448,
506.2,0.8157,1.7447,
506.3,0.8157,1.7447,
506.4,0.8158,1.7448,
506.5,0.8158,1.7448,
506.6,0.8158,1.7448,
506.7,0.8158,1.7448,
506.8,0.8158,1.7448,
506.9,0.8158,1.7448,
507,0.8158,1.7448,
507.1,0.8158,1.7448,
507.2,0.8157,1.7447,
507.3,0.8158,1.7448,
507.4,0.8158,1.7448,
507.5,0.8158,1.7448,
507.6,0.8158,1.7448,
507.7,0.8159,1.7449,
507.8,0.8158,1.7448,
507.9,0.8159,1.7449,
508,0.8159,1.7449,
508.1,0.8159,1.7449,
508.2,0.8159,1.7449,
508.3,0.8159,1.7449,
508.4,0.8158,1.7448,
508.5,0.8159,1.7449,
508.6,0.8159,1.7449,
508.7,0.816,1.745,
508.8,0.816,1.745,
508.9,0.816,1.745,
509,0.8159,1.7449,
509.1,0.8159,1.7449,
509.2,0.8159,1.7449,
509.3,0.8159,1.7449,
509.4,0.8159,1.7449,
509.5,0.816,1.745,
509.6,0.8159,1.7449,
509.7,0.8159,1.7449,
509.8,0.8159,1.7449,
509.9,0.8159,1.7449,
510,0.816,1.745,
510.1,0.816,1.745,
510.2,0.8159,1.7449,
510.3,0.816,1.745,
510.4,0.816,1.745,
510.5,0.816,1.745,
510.6,0.8161,1.7451,
510.7,0.816,1.745,
510.8,0.816,1.745,
510.9,0.816,1.745,
511,0.816,1.745,
511.1,0.816,1.745,
511.2,0.8161,1.7451,
511.3,0.8161,1.7451,
511.4,0.8161,1.7451,
511.5,0.8161,1.7451,
511.6,0.8162,1.7452,
511.7,0.8162,1.7452,
511.8,0.8162,1.7452,
511.9,0.8161,1.7451,
512,0.8162,1.7452,
512.1,0.8162,1.7452,
512.2,0.8162,1.7452,
512.3,0.8162,1.7452,
512.4,0.8162,1.7452,
512.5,0.8162,1.7452,
512.6,0.8161,1.7451,
512.7,0.8162,1.7452,
512.8,0.8162,1.7452,
512.9,0.8161,1.7451,
513,0.8162,1.7452,
513.1,0.8162,1.7452,
513.2,0.8162,1.7452,
513.3,0.8161,1.7451,
513.4,0.8161,1.7451,
513.5,0.8162,1.7452,
513.6,0.8162,1.7452,
513.7,0.8162,1.7452,
513.8,0.8161,1.7451,
513.9,0.8162,1.7452,
514,0.8162,1.7452,
514.1,0.8162,1.7452,
514.2,0.8161,1.7451,
514.3,0.8161,1.7451,
514.4,0.8162,1.7452,
514.5,0.8162,1.7452,
514.6,0.8162,1.7452,
514.7,0.8162,1.7452,
514.8,0.8162,1.7452,
514.9,0.8162,1.7452,
515,0.8163,1.7453,
515.1,0.8163,1.7453,
515.2,0.8162,1.7452,
515.3,0.8163,1.7453,
515.4,0.8164,1.7454,
515.5,0.8163,1.7453,
515.6,0.8163,1.7453,
515.7,0.8163,1.7453,
515.8,0.8163,1.7453,
515.9,0.8163,1.7453,
516,0.8164,1.7454,
516.1,0.8164,1.7454,
516.2,0.8163,1.7453,
516.3,0.8164,1.7454,
516.4,0.8164,1.7454,
516.5,0.8164,1.7454,
516.6,0.8163,1.7453,
516.7,0.8163,1.7453,
516.8,0.8164,1.7454,
516.9,0.8163,1.7453,
517,0.8162,1.7452,
517.1,0.8162,1.7452,
517.2,0.8163,1.7453,
517.3,0.8164,1.7454,
517.4,0.8163,1.7453,
517.5,0.8163,1.7453,
517.6,0.8163,1.7453,
517.7,0.8164,1.7454,
517.8,0.8164,1.7454,
517.9,0.8164,1.7454,
518,0.8164,1.7454,
518.1,0.8165,1.7455,
518.2,0.8165,1.7455,
518.3,0.8164,1.7454,
518.4,0.8164,1.7454,
518.5,0.8164,1.7454,
518.6,0.8164,1.7454,
518.7,0.8164,1.7454,
518.8,0.8164,1.7454,
518.9,0.8165,1.7455,
519,0.8165,1.7455,
519.1,0.8165,1.7455,
519.2,0.8165,1.7455,
519.3,0.8165,1.7455,
519.4,0.8165,1.7455,
519.5,0.8164,1.7454,
519.6,0.8165,1.7455,
519.7,0.8165,1.7455,
519.8,0.8165,1.7455,
519.9,0.8166,1.7456,
520,0.8165,1.7455,
520.1,0.8165,1.7455,
520.2,0.8165,1.7455,
520.3,0.8165,1.7455,
520.4,0.8165,1.7455,
520.5,0.8165,1.7455,
520.6,0.8165,1.7455,
520.7,0.8165,1.7455,
520.8,0.8165,1.7455,
520.9,0.8166,1.7456,
521,0.8166,1.7456,
521.1,0.8165,1.7455,
521.2,0.8165,1.7455,
521.3,0.8165,1.7455,
521.4,0.8166,1.7456,
521.5,0.8166,1.7456,
521.6,0.8166,1.7456,
521.7,0.8166,1.7456,
521.8,0.8166,1.7456,
521.9,0.8166,1.7456,
522,0.8167,1.7457,
522.1,0.8167,1.7457,
522.2,0.8166,1.7456,
522.3,0.8167,1.7457,
522.4,0.8167,1.7457,
522.5,0.8167,1.7457,
522.6,0.8167,1.7457,
522.7,0.8167,1.7457,
522.8,0.8166,1.7456,
522.9,0.8167,1.7457,
523,0.8167,1.7457,
523.1,0.8167,1.7457,
523.2,0.8167,1.7457,
523.3,0.8166,1.7456,
523.4,0.8168,1.7458,
523.5,0.8168,1.7458,
523.6,0.8168,1.7458,
523.7,0.8167,1.7457,
523.8,0.8167,1.7457,
523.9,0.8167,1.7457,
524,0.8167,1.7457,
524.1,0.8167,1.7457,
524.2,0.8167,1.7457,
524.3,0.8168,1.7458,
524.4,0.8168,1.7458,
524.5,0.8168,1.7458,
524.6,0.8168,1.7458,
524.7,0.8168,1.7458,
524.8,0.8168,1.7458,
524.9,0.8169,1.7459,
525,0.8169,1.7459,
525.1,0.8169,1.7459,
525.2,0.8168,1.7458,
525.3,0.8169,1.7459,
525.4,0.8168,1.7458,
525.5,0.8169,1.7459,
525.6,0.8168,1.7458,
525.7,0.8169,1.7459,
525.8,0.8169,1.7459,
525.9,0.8169,1.7459,
526,0.8169,1.7459,
526.1,0.817,1.746,
526.2,0.8169,1.7459,
526.3,0.8169,1.7459,
526.4,0.8169,1.7459,
526.5,0.8169,1.7459,
526.6,0.817,1.746,
526.7,0.8169,1.7459,
526.8,0.8169,1.7459,
526.9,0.8169,1.7459,
527,0.8169,1.7459,
527.1,0.8169,1.7459,
527.2,0.8169,1.7459,
527.3,0.817,1.746,
527.4,0.817,1.746,
527.5,0.817,1.746,
527.6,0.817,1.746,
527.7,0.817,1.746,
527.8,0.8171,1.7461,
527.9,0.8171,1.7461,
528,0.8171,1.7461,
528.1,0.8171,1.7461,
528.2,0.817,1.746,
528.3,0.817,1.746,
528.4,0.8171,1.7461,
528.5,0.8171,1.7461,
528.6,0.817,1.746,
528.7,0.8171,1.7461,
528.8,0.8171,1.7461,
528.9,0.817,1.746,
529,0.8171,1.7461,
529.1,0.8171,1.7461,
529.2,0.8171,1.7461,
529.3,0.8171,1.7461,
529.4,0.8172,1.7462,
529.5,0.8172,1.7462,
529.6,0.8172,1.7462,
529.7,0.8172,1.7462,
529.8,0.8172,1.7462,
529.9,0.8172,1.7462,
530,0.8171,1.7461,
530.1,0.8171,1.7461,
530.2,0.8172,1.7462,
530.3,0.8172,1.7462,
530.4,0.8172,1.7462,
530.5,0.8172,1.7462,
530.6,0.8172,1.7462,
530.7,0.8172,1.7462,
530.8,0.8172,1.7462,
530.9,0.8172,1.7462,
531,0.8172,1.7462,
531.1,0.8172,1.7462,
531.2,0.8173,1.7463,
531.3,0.8172,1.7462,
531.4,0.8172,1.7462,
531.5,0.8172,1.7462,
531.6,0.8172,1.7462,
531.7,0.8173,1.7463,
531.8,0.8173,1.7463,
531.9,0.8173,1.7463,
532,0.8172,1.7462,
532.1,0.8173,1.7463,
532.2,0.8173,1.7463,
532.3,0.8173,1.7463,
532.4,0.8172,1.7462,
532.5,0.8172,1.7462,
532.6,0.8173,1.7463,
532.7,0.8173,1.7463,
532.8,0.8173,1.7463,
532.9,0.8174,1.7464,
533,0.8173,1.7463,
533.1,0.8172,1.7462,
533.2,0.8174,1.7464,
533.3,0.8173,1.7463,
533.4,0.8174,1.7464,
533.5,0.8173,1.7463,
533.6,0.8173,1.7463,
533.7,0.8172,1.7462,
533.8,0.8173,1.7463,
533.9,0.8173,1.7463,
534,0.8173,1.7463,
534.1,0.8172,1.7462,
534.2,0.8173,1.7463,
534.3,0.8173,1.7463,
534.4,0.8173,1.7463,
534.5,0.8173,1.7463,
534.6,0.8174,1.7464,
534.7,0.8174,1.7464,
534.8,0.8174,1.7464,
534.9,0.8174,1.7464,
535,0.8173,1.7463,
535.1,0.8174,1.7464,
535.2,0.8174,1.7464,
535.3,0.8175,1.7465,
535.4,0.8174,1.7464,
535.5,0.8174,1.7464,
535.6,0.8174,1.7464,
535.7,0.8174,1.7464,
535.8,0.8174,1.7464,
535.9,0.8174,1.7464,
536,0.8174,1.7464,
536.1,0.8174,1.7464,
536.2,0.8176,1.7466,
536.3,0.8175,1.7465,
536.4,0.8175,1.7465,
536.5,0.8174,1.7464,
536.6,0.8175,1.7465,
536.7,0.8175,1.7465,
536.8,0.8175,1.7465,
536.9,0.8175,1.7465,
537,0.8175,1.7465,
537.1,0.8175,1.7465,
537.2,0.8175,1.7465,
537.3,0.8176,1.7466,
537.4,0.8175,1.7465,
537.5,0.8176,1.7466,
537.6,0.8176,1.7466,
537.7,0.8176,1.7466,
537.8,0.8176,1.7466,
537.9,0.8175,1.7465,
538,0.8175,1.7465,
538.1,0.8175,1.7465,
538.2,0.8175,1.7465,
538.3,0.8176,1.7466,
538.4,0.8176,1.7466,
538.5,0.8175,1.7465,
538.6,0.8176,1.7466,
538.7,0.8176,1.7466,
538.8,0.8176,1.7466,
538.9,0.8177,1.7467,
539,0.8177,1.7467,
539.1,0.8176,1.7466,
539.2,0.8176,1.7466,
539.3,0.8176,1.7466,
539.4,0.8176,1.7466,
539.5,0.8176,1.7466,
539.6,0.8177,1.7467,
539.7,0.8177,1.7467,
539.8,0.8177,1.7467,
539.9,0.8176,1.7466,
540,0.8177,1.7467,
540.1,0.8177,1.7467,
540.2,0.8178,1.7468,
540.3,0.8178,1.7468,
540.4,0.8178,1.7468,
540.5,0.8178,1.7468,
540.6,0.8178,1.7468,
540.7,0.8178,1.7468,
540.8,0.8178,1.7468,
540.9,0.8178,1.7468,
541,0.8178,1.7468,
541.1,0.8177,1.7467,
541.2,0.8177,1.7467,
541.3,0.8178,1.7468,
541.4,0.8177,1.7467,
541.5,0.8177,1.7467,
541.6,0.8178,1.7468,
541.7,0.8178,1.7468,
541.8,0.8178,1.7468,
541.9,0.8177,1.7467,
542,0.8177,1.7467,
542.1,0.8177,1.7467,
542.2,0.8178,1.7468,
542.3,0.8178,1.7468,
542.4,0.8178,1.7468,
542.5,0.8179,1.7469,
542.6,0.818,1.747,
542.7,0.8179,1.7469,
542.8,0.8178,1.7468,
542.9,0.8178,1.7468,
543,0.8178,1.7468,
543.1,0.8179,1.7469,
543.2,0.8179,1.7469,
543.3,0.8179,1.7469,
543.4,0.8179,1.7469,
543.5,0.8179,1.7469,
543.6,0.8178,1.7468,
543.7,0.8179,1.7469,
543.8,0.8179,1.7469,
543.9,0.8179,1.7469,
544,0.818,1.747,
544.1,0.8179,1.7469,
544.2,0.8179,1.7469,
544.3,0.8179,1.7469,
544.4,0.8179,1.7469,
544.5,0.8179,1.7469,
544.6,0.818,1.747,
544.7,0.8179,1.7469,
544.8,0.8179,1.7469,
544.9,0.8178,1.7468,
545,0.8179,1.7469,
545.1,0.8179,1.7469,
545.2,0.8179,1.7469,
545.3,0.8179,1.7469,
545.4,0.818,1.747,
545.5,0.818,1.747,
545.6,0.818,1.747,
545.7,0.8179,1.7469,
545.8,0.818,1.747,
545.9,0.818,1.747,
546,0.818,1.747,
546.1,0.818,1.747,
546.2,0.818,1.747,
546.3,0.818,1.747,
546.4,0.8181,1.7471,
546.5,0.818,1.747,
546.6,0.8181,1.7471,
546.7,0.8181,1.7471,
546.8,0.8181,1.7471,
546.9,0.8181,1.7471,
547,0.818,1.747,
547.1,0.818,1.747,
547.2,0.8181,1.7471,
547.3,0.8181,1.7471,
547.4,0.8181,1.7471,
547.5,0.8181,1.7471,
547.6,0.8181,1.7471,
547.7,0.8181,1.7471,
547.8,0.8181,1.7471,
547.9,0.8181,1.7471,
548,0.8181,1.7471,
548.1,0.8181,1.7471,
548.2,0.8181,1.7471,
548.3,0.8181,1.7471,
548.4,0.8182,1.7472,
548.5,0.8182,1.7472,
548.6,0.8182,1.7472,
548.7,0.8181,1.7471,
548.8,0.8182,1.7472,
548.9,0.8181,1.7471,
549,0.8182,1.7472,
549.1,0.8182,1.7472,
549.2,0.8183,1.7473,
549.3,0.8182,1.7472,
549.4,0.8182,1.7472,
549.5,0.8182,1.7472,
549.6,0.8183,1.7473,
549.7,0.8183,1.7473,
549.8,0.8182,1.7472,
549.9,0.8183,1.7473,
550,0.8183,1.7473,
550.1,0.8183,1.7473,
550.2,0.8183,1.7473,
550.3,0.8183,1.7473,
550.4,0.8183,1.7473,
550.5,0.8183,1.7473,
550.6,0.8183,1.7473,
550.7,0.8183,1.7473,
550.8,0.8183,1.7473,
550.9,0.8183,1.7473,
551,0.8184,1.7474,
551.1,0.8184,1.7474,
