Mode,Chronopotentiometry,,
Applied current (A),0.02,,
Applied potential (V),,,
Time (s),1800,,
Reference electrode potential (V vs. RHE),0.929,,
Working area (cm^2),2,,
Applied current density (mA/cm^2),10,,
Solution resistance (ohm),2.3,Compensation level (%),0
,,,
Time,Original Potential,Potential,
sec,V,"V vs. RHE, iR-corrected",
20.9,0.7781,1.7071,
21,0.7782,1.7072,
21.1,0.7782,1.7072,
21.2,0.7782,1.7072,
21.3,0.7782,1.7072,
21.4,0.7783,1.7073,
21.5,0.7783,1.7073,
21.6,0.7783,1.7073,
21.7,0.7783,1.7073,
21.8,0.7785,1.7075,
21.9,0.7785,1.7075,
22,0.7784,1.7074,
22.1,0.7785,1.7075,
22.2,0.7786,1.7076,
22.3,0.7785,1.7075,
22.4,0.7786,1.7076,
22.5,0.7786,1.7076,
22.6,0.7786,1.7076,
22.7,0.7786,1.7076,
22.8,0.7786,1.7076,
22.9,0.7787,1.7077,
23,0.7787,1.7077,
23.1,0.7787,1.7077,
23.2,0.7788,1.7078,
23.3,0.7788,1.7078,
23.4,0.7788,1.7078,
23.5,0.7789,1.7079,
23.6,0.7787,1.7077,
23.7,0.7787,1.7077,
23.8,0.7787,1.7077,
23.9,0.7788,1.7078,
24,0.7787,1.7077,
24.1,0.7787,1.7077,
24.2,0.7788,1.7078,
24.3,0.7788,1.7078,
24.4,0.7789,1.7079,
24.5,0.779,1.708,
24.6,0.7789,1.7079,
24.7,0.779,1.708,
24.8,0.779,1.708,
24.9,0.779,1.708,
25,0.779,1.708,
25.1,0.779,1.708,
25.2,0.7791,1.7081,
25.3,0.7791,1.7081,
25.4,0.7792,1.7082,
25.5,0.7792,1.7082,
25.6,0.7792,1.7082,
25.7,0.7791,1.7081,
25.8,0.7792,1.7082,
25.9,0.7792,1.7082,
26,0.7792,1.7082,
26.1,0.7793,1.7083,
26.2,0.7793,1.7083,
26.3,0.7794,1.7084,
26.4,0.7794,1.7084,
26.5,0.7794,1.7084,
26.6,0.7794,1.7084,
26.7,0.7794,1.7084,
26.8,0.7794,1.7084,
26.9,0.7794,1.7084,
27,0.7794,1.7084,
27.1,0.7795,1.7085,
27.2,0.7795,1.7085,
27.3,0.7795,1.7085,
27.4,0.7794,1.7084,
27.5,0.7795,1.7085,
27.6,0.7795,1.7085,
27.7,0.7795,1.7085,
27.8,0.7796,1.7086,
27.9,0.7796,1.7086,
28,0.7796,1.7086,
28.1,0.7796,1.7086,
28.2,0.7797,1.7087,
28.3,0.7797,1.7087,
28.4,0.7797,1.7087,
28.5,0.7799,1.7089,
28.6,0.7799,1.7089,
28.7,0.7798,1.7088,
28.8,0.7799,1.7089,
28.9,0.7799,1.7089,
29,0.7799,1.7089,
29.1,0.7799,1.7089,
29.2,0.7799,1.7089,
29.3,0.78,1.709,
29.4,0.78,1.709,
29.5,0.7799,1.7089,
29.6,0.78,1.709,
29.7,0.7801,1.7091,
29.8,0.7801,1.7091,
29.9,0.7801,1.7091,
30,0.78,1.709,
30.1,0.7799,1.7089,
30.2,0.7799,1.7089,
30.3,0.7799,1.7089,
30.4,0.78,1.709,
30.5,0.7801,1.7091,
30.6,0.7801,1.7091,
30.7,0.7801,1.7091,
30.8,0.7801,1.7091,
30.9,0.7801,1.7091,
31,0.7802,1.7092,
31.1,0.7803,1.7093,
31.2,0.7803,1.7093,
31.3,0.7802,1.7092,
31.4,0.7804,1.7094,
31.5,0.7803,1.7093,
31.6,0.7804,1.7094,
31.7,0.7804,1.7094,
31.8,0.7804,1.7094,
31.9,0.7804,1.7094,
32,0.7804,1.7094,
32.1,0.7804,1.7094,
32.2,0.7804,1.7094,
32.3,0.7805,1.7095,
32.4,0.7805,1.7095,
32.5,0.7805,1.7095,
32.6,0.7805,1.7095,
32.7,0.7806,1.7096,
32.8,0.7806,1.7096,
32.9,0.7806,1.7096,
33,0.7807,1.7097,
33.1,0.7807,1.7097,
33.2,0.7806,1.7096,
33.3,0.7807,1.7097,
33.4,0.7807,1.7097,
33.5,0.7807,1.7097,
33.6,0.7807,1.7097,
33.7,0.7807,1.7097,
33.8,0.7807,1.7097,
33.9,0.7807,1.7097,
34,0.7807,1.7097,
34.1,0.7808,1.7098,
34.2,0.7809,1.7099,
34.3,0.7809,1.7099,
34.4,0.7809,1.7099,
34.5,0.7809,1.7099,
34.6,0.7809,1.7099,
34.7,0.7809,1.7099,
34.8,0.7809,1.7099,
34.9,0.7809,1.7099,
35,0.7809,1.7099,
35.1,0.7809,1.7099,
35.2,0.7809,1.7099,
35.3,0.781,1.71,
35.4,0.781,1.71,
35.5,0.781,1.71,
35.6,0.7811,1.7101,
35.7,0.7811,1.7101,
35.8,0.781,1.71,
35.9,0.781,1.71,
36,0.7811,1.7101,
36.1,0.7812,1.7102,
36.2,0.7812,1.7102,
36.3,0.7813,1.7103,
36.4,0.7812,1.7102,
36.5,0.7812,1.7102,
36.6,0.7812,1.7102,
36.7,0.7812,1.7102,
36.8,0.7812,1.7102,
36.9,0.7813,1.7103,
37,0.7813,1.7103,
37.1,0.7813,1.7103,
37.2,0.7813,1.7103,
37.3,0.7814,1.7104,
37.4,0.7814,1.7104,
37.5,0.7814,1.7104,
37.6,0.7815,1.7105,
37.7,0.7814,1.7104,
37.8,0.7813,1.7103,
37.9,0.7814,1.7104,
38,0.7815,1.7105,
38.1,0.7814,1.7104,
38.2,0.7815,1.7105,
38.3,0.7815,1.7105,
38.4,0.7816,1.7106,
38.5,0.7815,1.7105,
38.6,0.7816,1.7106,
38.7,0.7816,1.7106,
38.8,0.7816,1.7106,
38.9,0.7816,1.7106,
39,0.7816,1.7106,
39.1,0.7816,1.7106,
39.2,0.7817,1.7107,
39.3,0.7817,1.7107,
39.4,0.7817,1.7107,
39.5,0.7817,1.7107,
39.6,0.7817,1.7107,
39.7,0.7818,1.7108,
39.8,0.7818,1.7108,
39.9,0.7819,1.7109,
40,0.7819,1.7109,
40.1,0.7819,1.7109,
40.2,0.7819,1.7109,
40.3,0.7819,1.7109,
40.4,0.7819,1.7109,
40.5,0.782,1.711,
40.6,0.782,1.711,
40.7,0.7819,1.7109,
40.8,0.782,1.711,
40.9,0.782,1.711,
41,0.782,1.711,
41.1,0.782,1.711,
41.2,0.782,1.711,
41.3,0.782,1.711,
41.4,0.7821,1.7111,
41.5,0.7821,1.7111,
41.6,0.7822,1.7112,
41.7,0.7822,1.7112,
41.8,0.7821,1.7111,
41.9,0.7822,1.7112,
42,0.7823,1.7113,
42.1,0.7822,1.7112,
42.2,0.7822,1.7112,
42.3,0.7822,1.7112,
42.4,0.7822,1.7112,
42.5,0.7823,1.7113,
42.6,0.7824,1.7114,
42.7,0.7823,1.7113,
42.8,0.7824,1.7114,
42.9,0.7825,1.7115,
43,0.7825,1.7115,
43.1,0.7824,1.7114,
43.2,0.7824,1.7114,
43.3,0.7824,1.7114,
43.4,0.7824,1.7114,
43.5,0.7824,1.7114,
43.6,0.7824,1.7114,
43.7,0.7824,1.7114,
43.8,0.7825,1.7115,
43.9,0.7824,1.7114,
44,0.7824,1.7114,
44.1,0.7825,1.7115,
44.2,0.7824,1.7114,
44.3,0.7825,1.7115,
44.4,0.7825,1.7115,
44.5,0.7826,1.7116,
44.6,0.7826,1.7116,
44.7,0.7825,1.7115,
44.8,0.7826,1.7116,
44.9,0.7827,1.7117,
45,0.7827,1.7117,
45.1,0.7827,1.7117,
45.2,0.7827,1.7117,
45.3,0.7827,1.7117,
45.4,0.7828,1.7118,
45.5,0.7828,1.7118,
45.6,0.7828,1.7118,
45.7,0.7828,1.7118,
45.8,0.7829,1.7119,
45.9,0.7829,1.7119,
46,0.7829,1.7119,
46.1,0.7828,1.7118,
46.2,0.7828,1.7118,
46.3,0.7829,1.7119,
46.4,0.7829,1.7119,
46.5,0.783,1.712,
46.6,0.7829,1.7119,
46.7,0.7829,1.7119,
46.8,0.783,1.712,
46.9,0.7829,1.7119,
47,0.7829,1.7119,
47.1,0.783,1.712,
47.2,0.783,1.712,
47.3,0.783,1.712,
47.4,0.7831,1.7121,
47.5,0.783,1.712,
47.6,0.7831,1.7121,
47.7,0.7831,1.7121,
47.8,0.7831,1.7121,
47.9,0.7831,1.7121,
48,0.7831,1.7121,
48.1,0.7831,1.7121,
48.2,0.7832,1.7122,
48.3,0.7831,1.7121,
48.4,0.7831,1.7121,
48.5,0.7831,1.7121,
48.6,0.7832,1.7122,
48.7,0.7832,1.7122,
48.8,0.7833,1.7123,
48.9,0.7832,1.7122,
49,0.7832,1.7122,
49.1,0.7833,1.7123,
49.2,0.7833,1.7123,
49.3,0.7833,1.7123,
49.4,0.7834,1.7124,
49.5,0.7834,1.7124,
49.6,0.7834,1.7124,
49.7,0.7834,1.7124,
49.8,0.7834,1.7124,
49.9,0.7833,1.7123,
50,0.7832,1.7122,
50.1,0.7833,1.7123,
50.2,0.7834,1.7124,
50.3,0.7834,1.7124,
50.4,0.7834,1.7124,
50.5,0.7834,1.7124,
50.6,0.7834,1.7124,
50.7,0.7834,1.7124,
50.8,0.7835,1.7125,
50.9,0.7836,1.7126,
51,0.7835,1.7125,
51.1,0.7834,1.7124,
51.2,0.7836,1.7126,
51.3,0.7836,1.7126,
51.4,0.7836,1.7126,
51.5,0.7836,1.7126,
51.6,0.7836,1.7126,
51.7,0.7836,1.7126,
51.8,0.7836,1.7126,
51.9,0.7837,1.7127,
52,0.7837,1.7127,
52.1,0.7837,1.7127,
52.2,0.7837,1.7127,
52.3,0.7837,1.7127,
52.4,0.7837,1.7127,
52.5,0.7837,1.7127,
52.6,0.7838,1.7128,
52.7,0.7838,1.7128,
52.8,0.7838,1.7128,
52.9,0.7838,1.7128,
53,0.7838,1.7128,
53.1,0.7839,1.7129,
53.2,0.7839,1.7129,
53.3,0.7839,1.7129,
53.4,0.7837,1.7127,
53.5,0.7839,1.7129,
53.6,0.7839,1.7129,
53.7,0.7839,1.7129,
53.8,0.7839,1.7129,
53.9,0.7839,1.7129,
54,0.7839,1.7129,
54.1,0.784,1.713,
54.2,0.784,1.713,
54.3,0.7839,1.7129,
54.4,0.784,1.713,
54.5,0.7841,1.7131,
54.6,0.7841,1.7131,
54.7,0.7841,1.7131,
54.8,0.784,1.713,
54.9,0.7841,1.7131,
55,0.7841,1.7131,
55.1,0.7842,1.7132,
55.2,0.7842,1.7132,
55.3,0.7842,1.7132,
55.4,0.7842,1.7132,
55.5,0.7842,1.7132,
55.6,0.7843,1.7133,
55.7,0.7842,1.7132,
55.8,0.7843,1.7133,
55.9,0.7843,1.7133,
56,0.7843,1.7133,
56.1,0.7844,1.7134,
56.2,0.7843,1.7133,
56.3,0.7844,1.7134,
56.4,0.7843,1.7133,
56.5,0.7843,1.7133,
56.6,0.7844,1.7134,
56.7,0.7843,1.7133,
56.8,0.7843,1.7133,
56.9,0.7844,1.7134,
57,0.7844,1.7134,
57.1,0.7842,1.7132,
57.2,0.7843,1.7133,
57.3,0.7843,1.7133,
57.4,0.7844,1.7134,
57.5,0.7844,1.7134,
57.6,0.7844,1.7134,
57.7,0.7844,1.7134,
57.8,0.7845,1.7135,
57.9,0.7845,1.7135,
58,0.7844,1.7134,
58.1,0.7845,1.7135,
58.2,0.7845,1.7135,
58.3,0.7845,1.7135,
