Source file,Ni_foil_EIS 0.868 V.txt
Working area (cm^2),2

Frequency (Hz),Z' (ohm cm^2),-Z'' (ohm cm^2),Z (ohm cm^2),Phase (deg)
999000.0,4.266,-0.3042,4.278,4.1
825200.0,3.928,-0.2562,3.936,3.7
681600.0,3.782,-0.1203,3.784,1.8
562500.0,3.682,-0.017922,3.682,0.3
463900.0,3.668,0.07054,3.67,-1.1
382800.0,3.674,0.11998,3.676,-1.9
316400.0,3.704,0.16236,3.708,-2.5
260700.0,3.732,0.17742,3.736,-2.7
215800.0,3.766,0.1838,3.77,-2.8
177700.0,3.798,0.18606,3.804,-2.8
146500.0,3.834,0.18376,3.838,-2.7
121100.0,3.866,0.18056,3.87,-2.7
99610.0,3.894,0.1723,3.898,-2.5
82520.0,3.916,0.16008,3.918,-2.3
68120.0,3.932,0.14732,3.936,-2.1
56150.0,3.946,0.13464,3.948,-2.0
46390.0,3.954,0.12502,3.956,-1.8
38330.0,3.962,0.11884,3.964,-1.7
31740.0,3.968,0.11636,3.97,-1.7
26120.0,3.976,0.11826,3.978,-1.7
21480.0,3.984,0.12276,3.986,-1.8
17820.0,3.99,0.1291,3.992,-1.9
14650.0,3.998,0.13778,4.0,-2.0
12210.0,4.006,0.14916,4.01,-2.1
10010.0,4.018,0.16584,4.02,-2.4
8301.0,4.028,0.18772,4.032,-2.7
6836.0,4.04,0.2116,4.046,-3.0
5615.0,4.054,0.2376,4.062,-3.4
4639.0,4.07,0.266,4.078,-3.7
3906.0,4.088,0.2996,4.1,-4.2
3174.0,4.11,0.3386,4.124,-4.7
2686.0,4.136,0.3832,4.154,-5.3
2197.0,4.172,0.4408,4.196,-6.0
1709.0,4.214,0.506,4.244,-6.8
1465.0,4.26,0.5736,4.3,-7.7
1221.0,4.318,0.6514,4.368,-8.6
976.6,4.394,0.7358,4.456,-9.5
825.2,4.488,0.8242,4.562,-10.4
683.6,4.596,0.9218,4.688,-11.3
561.5,4.724,1.0252,4.834,-12.2
463.9,4.872,1.129,5.002,-13.0
380.9,5.048,1.226,5.194,-13.7
317.4,5.248,1.3082,5.408,-14.0
258.8,5.472,1.3668,5.64,-14.0
214.8,5.712,1.3914,5.878,-13.7
175.8,5.954,1.3784,6.112,-13.0
146.5,6.184,1.3316,6.326,-12.2
122.1,6.402,1.2504,6.524,-11.1
97.66,6.578,1.1312,6.674,-9.8
82.54,6.704,0.996,6.778,-8.4
68.13,6.81,0.8692,6.864,-7.3
56.23,6.894,0.7556,6.936,-6.3
46.42,6.964,0.6546,6.994,-5.4
38.31,7.016,0.564,7.04,-4.6
31.62,7.058,0.4832,7.074,-3.9
26.1,7.088,0.4122,7.1,-3.3
21.54,7.112,0.3528,7.12,-2.8
17.78,7.132,0.3046,7.138,-2.4
14.68,7.146,0.2662,7.15,-2.1
12.12,7.162,0.2322,7.164,-1.9
10.0,7.12,0.19826,7.122,-1.6
8.254,7.078,0.1704,7.08,-1.4
6.813,7.1,0.15226,7.1,-1.2
5.623,7.128,0.14322,7.128,-1.2
4.642,7.158,0.15044,7.16,-1.2
3.831,7.192,0.15002,7.194,-1.2
3.162,7.21,0.146,7.21,-1.2
2.61,7.196,0.13746,7.198,-1.1
2.154,7.188,0.13758,7.19,-1.1
1.778,7.202,0.1599,7.204,-1.3
1.468,7.226,0.16958,7.228,-1.3
1.212,7.25,0.17186,7.252,-1.4
1.0,7.274,0.16836,7.276,-1.3
