Source file,Ni_foil_EIS 0.668 V.txt
Working area (cm^2),2

Frequency (Hz),Z' (ohm cm^2),-Z'' (ohm cm^2),Z (ohm cm^2),Phase (deg)
999000.0,6.888,-1.1336,6.98,9.3
825200.0,6.428,-1.1722,6.534,10.3
681600.0,6.144,-1.1286,6.246,10.4
562500.0,5.882,-1.133,5.99,10.9
463900.0,5.694,-1.1514,5.81,11.4
382800.0,5.496,-1.2006,5.624,12.3
316400.0,5.292,-1.2378,5.436,13.2
260700.0,5.072,-1.248,5.224,13.8
215800.0,4.634,-0.9304,4.726,11.4
177700.0,4.118,-0.409,4.138,5.7
146500.0,3.828,-0.07292,3.828,1.1
121100.0,3.72,0.08222,3.722,-1.3
99610.0,3.732,0.09034,3.734,-1.4
82520.0,3.768,0.05766,3.768,-0.9
68120.0,3.796,0.02614,3.796,-0.4
56150.0,3.806,0.01625,3.806,-0.2
46390.0,3.806,0.018702,3.806,-0.3
38330.0,3.802,0.0275,3.802,-0.4
31740.0,3.8,0.03636,3.8,-0.5
26120.0,3.8,0.04434,3.8,-0.7
21480.0,3.802,0.0516,3.802,-0.8
17820.0,3.806,0.06,3.808,-0.9
14650.0,3.812,0.07002,3.814,-1.1
12210.0,3.818,0.08108,3.82,-1.2
10010.0,3.822,0.09456,3.824,-1.4
8301.0,3.826,0.1107,3.828,-1.7
6836.0,3.832,0.12776,3.834,-1.9
5615.0,3.838,0.14664,3.84,-2.2
4639.0,3.846,0.16722,3.848,-2.5
3906.0,3.854,0.19186,3.858,-2.9
3174.0,3.862,0.2208,3.868,-3.3
2686.0,3.874,0.2548,3.882,-3.8
2197.0,3.888,0.2998,3.9,-4.4
1709.0,3.904,0.352,3.92,-5.2
1465.0,3.922,0.4082,3.942,-5.9
1221.0,3.938,0.4762,3.966,-6.9
976.6,3.968,0.5542,4.006,-8.0
825.2,4.008,0.643,4.06,-9.1
683.6,4.05,0.7502,4.118,-10.5
561.5,4.09,0.8792,4.184,-12.1
463.9,4.134,1.0336,4.26,-14.0
380.9,4.18,1.2148,4.354,-16.2
317.4,4.234,1.433,4.47,-18.7
258.8,4.3,1.6942,4.622,-21.5
214.8,4.38,2.008,4.82,-24.6
175.8,4.484,2.38,5.076,-28.0
146.5,4.616,2.808,5.402,-31.3
122.1,4.8,3.342,5.848,-34.8
97.66,5.08,3.956,6.44,-37.9
82.54,5.47,4.632,7.168,-40.3
68.13,5.978,5.4,8.056,-42.1
56.23,6.636,6.238,9.108,-43.2
46.42,7.484,7.128,10.334,-43.6
38.31,8.56,8.016,11.728,-43.1
31.62,9.884,8.834,13.256,-41.8
26.1,11.446,9.5,14.874,-39.7
21.54,13.192,9.932,16.512,-37.0
17.78,15.036,10.066,18.096,-33.8
14.68,16.878,9.88,19.556,-30.3
12.12,18.604,9.402,20.84,-26.8
10.0,20.14,8.694,21.94,-23.4
8.254,21.44,7.84,22.82,-20.1
6.813,22.46,6.924,23.5,-17.1
5.623,23.26,6.016,24.02,-14.5
4.642,23.86,5.16,24.42,-12.2
3.831,24.3,4.382,24.7,-10.2
3.162,24.62,3.702,24.9,-8.6
2.61,24.84,3.118,25.02,-7.2
2.154,25.0,2.622,25.12,-6.0
1.778,25.1,2.21,25.2,-5.0
1.468,25.2,1.8612,25.26,-4.2
1.212,25.28,1.5648,25.34,-3.5
1.0,25.34,1.3236,25.38,-3.0
