Source file,Ni_foil_LSV 2.3 ohm.txt
Reference electrode potential (V vs. RHE),
Equilibrium potential (V vs. RHE),1.23
Working area (cm^2),2

Point,Corrected potential (V),Current density (mA/cm^2),log10(|j| / mA cm^-2),Overpotential (V)
108,0.107,-0.0036710000000000002,-2.435215615496013,-1.123
109,0.108,-0.0037495,-2.42602664206394,-1.1219999999999999
110,0.109,-0.003476,-2.458920232223371,-1.121
111,0.11,-0.00371,-2.430626090384954,-1.1199999999999999
112,0.111,-0.0036710000000000002,-2.435215615496013,-1.119
113,0.112,-0.0035930000000000003,-2.4445427827953505,-1.1179999999999999
114,0.113,-0.0036710000000000002,-2.435215615496013,-1.117
115,0.114,-0.0035540000000000003,-2.449282576530717,-1.1159999999999999
116,0.115,-0.0036320000000000002,-2.4398541601509525,-1.115
117,0.116,-0.0035930000000000003,-2.4445427827953505,-1.1139999999999999
118,0.117,-0.0035540000000000003,-2.449282576530717,-1.113
119,0.118,-0.003437,-2.463820467862775,-1.112
120,0.119,-0.003515,-2.4540746706441574,-1.111
121,0.12,-0.0033585,-2.4738546473652887,-1.1099999999999999
122,0.121,-0.003476,-2.458920232223371,-1.109
123,0.122,-0.003515,-2.4540746706441574,-1.108
124,0.123,-0.0036320000000000002,-2.4398541601509525,-1.107
125,0.124,-0.003515,-2.4540746706441574,-1.1059999999999999
126,0.125,-0.0033195,-2.4789273270170606,-1.105
127,0.126,-0.003398,-2.4687766254669734,-1.104
128,0.127,-0.0035930000000000003,-2.4445427827953505,-1.103
129,0.128,-0.003476,-2.458920232223371,-1.1019999999999999
130,0.129,-0.003476,-2.458920232223371,-1.101
131,0.13,-0.0035930000000000003,-2.4445427827953505,-1.1
132,0.131,-0.003398,-2.4687766254669734,-1.099
133,0.132,-0.0032024999999999996,-2.4945108615832763,-1.0979999999999999
134,0.133,-0.003437,-2.463820467862775,-1.097
135,0.134,-0.003398,-2.4687766254669734,-1.096
136,0.135,-0.003398,-2.4687766254669734,-1.095
137,0.136,-0.003476,-2.458920232223371,-1.0939999999999999
138,0.137,-0.0033585,-2.4738546473652887,-1.093
139,0.138,-0.003437,-2.463820467862775,-1.092
140,0.139,-0.0033195,-2.4789273270170606,-1.091
141,0.14,-0.003437,-2.463820467862775,-1.0899999999999999
142,0.141,-0.003398,-2.4687766254669734,-1.089
143,0.142,-0.003398,-2.4687766254669734,-1.088
144,0.143,-0.0032805,-2.4840599579066818,-1.087
145,0.144,-0.0032805,-2.4840599579066818,-1.086
146,0.145,-0.0031245,-2.5052194709965727,-1.085
147,0.146,-0.003007,-2.5218665718994826,-1.084
148,0.147,-0.003007,-2.5218665718994826,-1.083
149,0.148,-0.0031635,-2.499832161204832,-1.082
150,0.149,-0.0032414999999999996,-2.4892539740610773,-1.081
151,0.15,-0.0032805,-2.4840599579066818,-1.08
152,0.151,-0.003398,-2.4687766254669734,-1.079
153,0.152,-0.0031635,-2.499832161204832,-1.078
154,0.153,-0.0032414999999999996,-2.4892539740610773,-1.077
155,0.154,-0.003476,-2.458920232223371,-1.076
156,0.155,-0.0035540000000000003,-2.449282576530717,-1.075
157,0.156,-0.0032805,-2.4840599579066818,-1.074
158,0.157,-0.003398,-2.4687766254669734,-1.073
159,0.158,-0.003398,-2.4687766254669734,-1.072
160,0.159,-0.003437,-2.463820467862775,-1.071
161,0.16,-0.003437,-2.463820467862775,-1.07
162,0.161,-0.003437,-2.463820467862775,-1.069
163,0.162,-0.003437,-2.463820467862775,-1.068
164,0.163,-0.0033195,-2.4789273270170606,-1.067
165,0.164,-0.0033585,-2.4738546473652887,-1.066
166,0.165,-0.003437,-2.463820467862775,-1.065
167,0.166,-0.0032414999999999996,-2.4892539740610773,-1.064
168,0.167,-0.0033585,-2.4738546473652887,-1.063
169,0.168,-0.003398,-2.4687766254669734,-1.062
170,0.169,-0.0032414999999999996,-2.4892539740610773,-1.061
171,0.17,-0.0033195,-2.4789273270170606,-1.06
172,0.171,-0.0032805,-2.4840599579066818,-1.059
173,0.172,-0.0030855,-2.5106744492495947,-1.058
174,0.173,-0.0032414999999999996,-2.4892539740610773,-1.057
175,0.174,-0.0033195,-2.4789273270170606,-1.056
176,0.175,-0.0031635,-2.499832161204832,-1.055
177,0.176,-0.003398,-2.4687766254669734,-1.054
178,0.177,-0.0032414999999999996,-2.4892539740610773,-1.053
179,0.178,-0.0032805,-2.4840599579066818,-1.052
180,0.179,-0.0032805,-2.4840599579066818,-1.051
181,0.18,-0.003515,-2.4540746706441574,-1.05
182,0.181,-0.0032414999999999996,-2.4892539740610773,-1.049
183,0.182,-0.0032805,-2.4840599579066818,-1.048
184,0.183,-0.0033585,-2.4738546473652887,-1.047
185,0.184,-0.0032024999999999996,-2.4945108615832763,-1.046
186,0.185,-0.0033195,-2.4789273270170606,-1.045
187,0.186,-0.003437,-2.463820467862775,-1.044
188,0.187,-0.0031635,-2.499832161204832,-1.043
189,0.188,-0.0032024999999999996,-2.4945108615832763,-1.042
190,0.189,-0.0033195,-2.4789273270170606,-1.041
191,0.19,-0.0032805,-2.4840599579066818,-1.04
192,0.191,-0.003398,-2.4687766254669734,-1.039
193,0.192,-0.003398,-2.4687766254669734,-1.038
194,0.193,-0.0033195,-2.4789273270170606,-1.037
195,0.194,-0.003437,-2.463820467862775,-1.036
196,0.195,-0.0032805,-2.4840599579066818,-1.035
197,0.196,-0.0031245,-2.5052194709965727,-1.034
198,0.197,-0.0029679999999999997,-2.5275361033930106,-1.033
199,0.198,-0.0030465,-2.516198817539512,-1.032
200,0.199,-0.0029289999999999997,-2.5332806283184013,-1.031
201,0.2,-0.0030855,-2.5106744492495947,-1.03
202,0.201,-0.0029679999999999997,-2.5275361033930106,-1.029
203,0.202,-0.0029679999999999997,-2.5275361033930106,-1.028
204,0.203,-0.0031245,-2.5052194709965727,-1.027
205,0.204,-0.0030855,-2.5106744492495947,-1.026
206,0.205,-0.0030465,-2.516198817539512,-1.025
207,0.206,-0.0028899999999999998,-2.5391021572434522,-1.024
208,0.207,-0.0029679999999999997,-2.5275361033930106,-1.023
209,0.208,-0.003007,-2.5218665718994826,-1.022
210,0.209,-0.0031245,-2.5052194709965727,-1.021
211,0.21,-0.0031635,-2.499832161204832,-1.02
212,0.211,-0.0033195,-2.4789273270170606,-1.019
213,0.212,-0.0031635,-2.499832161204832,-1.018
214,0.213,-0.0031245,-2.5052194709965727,-1.017
215,0.214,-0.003007,-2.5218665718994826,-1.016
216,0.215,-0.0031635,-2.499832161204832,-1.015
217,0.216,-0.0032024999999999996,-2.4945108615832763,-1.014
218,0.217,-0.0031245,-2.5052194709965727,-1.013
219,0.218,-0.003007,-2.5218665718994826,-1.012
220,0.219,-0.003007,-2.5218665718994826,-1.011
221,0.22,-0.003007,-2.5218665718994826,-1.01
222,0.221,-0.0032414999999999996,-2.4892539740610773,-1.009
223,0.222,-0.0031245,-2.5052194709965727,-1.008
224,0.223,-0.0029289999999999997,-2.5332806283184013,-1.007
225,0.224,-0.0030855,-2.5106744492495947,-1.006
226,0.225,-0.0029679999999999997,-2.5275361033930106,-1.005
227,0.226,-0.0032414999999999996,-2.4892539740610773,-1.004
228,0.227,-0.0029679999999999997,-2.5275361033930106,-1.003
229,0.228,-0.002812,-2.5509846836522136,-1.002
230,0.229,-0.003007,-2.5218665718994826,-1.001
231,0.23,-0.0030465,-2.516198817539512,-1.0
232,0.231,-0.0030855,-2.5106744492495947,-0.999
233,0.232,-0.0030465,-2.516198817539512,-0.998
234,0.233,-0.0030855,-2.5106744492495947,-0.997
235,0.234,-0.0029289999999999997,-2.5332806283184013,-0.996
236,0.235,-0.0028899999999999998,-2.5391021572434522,-0.995
237,0.236,-0.0028899999999999998,-2.5391021572434522,-0.994
238,0.237,-0.003007,-2.5218665718994826,-0.993
239,0.238,-0.002812,-2.5509846836522136,-0.992
240,0.239,-0.002734,-2.5632014897681965,-0.991
241,0.24,-0.002812,-2.5509846836522136,-0.99
242,0.241,-0.002773,-2.5570501304221382,-0.989
243,0.242,-0.002851,-2.54500278269054,-0.988
244,0.243,-0.002734,-2.5632014897681965,-0.987
245,0.244,-0.0026165,-2.582279260924316,-0.986
246,0.245,-0.0025385,-2.595422832259376,-0.985
247,0.246,-0.0026165,-2.582279260924316,-0.984
248,0.247,-0.002695,-2.5694412304772425,-0.983
249,0.248,-0.0024995,-2.602146858911391,-0.982
250,0.249,-0.0026165,-2.582279260924316,-0.981
251,0.25,-0.0024605,-2.6089766306299005,-0.98
252,0.251,-0.0023825,-2.622967090689636,-0.979
253,0.252,-0.0023045,-2.6374232875394608,-0.978
254,0.253,-0.0023435,-2.630135042143771,-0.977
255,0.254,-0.0023045,-2.6374232875394608,-0.976
256,0.255,-0.002148,-2.667965722972482,-0.975
257,0.256,-0.0023825,-2.622967090689636,-0.974
258,0.257,-0.0023825,-2.622967090689636,-0.973
259,0.258,-0.002656,-2.57577192930402,-0.972
260,0.259,-0.0024995,-2.602146858911391,-0.971
261,0.26,-0.0023435,-2.630135042143771,-0.97
262,0.261,-0.0023825,-2.622967090689636,-0.969
263,0.262,-0.0023435,-2.630135042143771,-0.968
264,0.263,-0.0024215,-2.615915526617442,-0.967
265,0.264,-0.0023435,-2.630135042143771,-0.966
266,0.265,-0.0023435,-2.630135042143771,-0.965
267,0.266,-0.0023435,-2.630135042143771,-0.964
268,0.267,-0.002109,-2.6759234202605136,-0.963
269,0.268,-0.0020700000000000002,-2.684029654543082,-0.962
270,0.269,-0.002187,-2.660151216962363,-0.961
271,0.27,-0.002226,-2.6524748400013105,-0.96
272,0.271,-0.0020310000000000003,-2.692290076595193,-0.959
273,0.272,-0.002187,-2.660151216962363,-0.958
274,0.273,-0.0020700000000000002,-2.684029654543082,-0.957
275,0.274,-0.002148,-2.667965722972482,-0.956
276,0.275,-0.002148,-2.667965722972482,-0.955
277,0.276,-0.002148,-2.667965722972482,-0.954
278,0.277,-0.001953,-2.7092977567121457,-0.953
279,0.278,-0.0019135,-2.718171533439482,-0.952
280,0.279,-0.001953,-2.7092977567121457,-0.951
281,0.28,-0.0020310000000000003,-2.692290076595193,-0.95
282,0.281,-0.0019135,-2.718171533439482,-0.949
283,0.282,-0.0020310000000000003,-2.692290076595193,-0.948
284,0.283,-0.0018745,-2.7271145552424305,-0.9470000000000001
285,0.284,-0.0019135,-2.718171533439482,-0.946
286,0.285,-0.0018745,-2.7271145552424305,-0.9450000000000001
287,0.286,-0.0017965000000000001,-2.745572778459332,-0.944
288,0.287,-0.0017965000000000001,-2.745572778459332,-0.9430000000000001
289,0.288,-0.0018355000000000001,-2.7362456111599944,-0.942
290,0.289,-0.0018355000000000001,-2.7362456111599944,-0.9410000000000001
291,0.29,-0.0018355000000000001,-2.7362456111599944,-0.94
292,0.291,-0.0017575,-2.7551046663081387,-0.9390000000000001
293,0.292,-0.0016405,-2.7850237652779337,-0.938
294,0.293,-0.0014449999999999999,-2.8401321529074335,-0.937
295,0.294,-0.0016015,-2.7954730570001596,-0.9359999999999999
296,0.295,-0.0014839999999999999,-2.828566099056992,-0.935
297,0.296,-0.00125,-2.9030899869919438,-0.9339999999999999
298,0.297,-0.001367,-2.8642314854321778,-0.933
299,0.298,-0.0012105000000000002,-2.9170352062222484,-0.9319999999999999
300,0.299,-0.0012105000000000002,-2.9170352062222484,-0.931
301,0.3,-0.00125,-2.9030899869919438,-0.9299999999999999
302,0.301,-0.0011325,-2.9459617893151306,-0.929
303,0.302,-0.0014839999999999999,-2.828566099056992,-0.9279999999999999
304,0.303,-0.00125,-2.9030899869919438,-0.927
305,0.304,-0.00125,-2.9030899869919438,-0.9259999999999999
306,0.305,-0.0011715,-2.9312577070670183,-0.925
307,0.306,-0.0012105000000000002,-2.9170352062222484,-0.9239999999999999
308,0.307,-0.0010155000000000001,-2.9933200722591744,-0.923
309,0.308,-0.000859,-3.0660068361687576,-0.9219999999999999
310,0.309,-0.0009375000000000001,-3.0280287236002437,-0.921
311,0.31,-0.0009765,-3.010327752376127,-0.9199999999999999
312,0.311,-0.000859,-3.0660068361687576,-0.919
313,0.312,-0.000859,-3.0660068361687576,-0.9179999999999999
314,0.313,-0.0009375000000000001,-3.0280287236002437,-0.917
315,0.314,-0.0008985,-3.046481918555007,-0.9159999999999999
316,0.315,-0.000625,-3.2041199826559246,-0.915
317,0.316,-0.00046865,-3.3291513786377154,-0.9139999999999999
318,0.317,-0.0004296,-3.3669357273085008,-0.913
319,0.318,-0.000625,-3.2041199826559246,-0.9119999999999999
320,0.319,-0.0004296,-3.3669357273085008,-0.911
321,0.32,-0.0004296,-3.3669357273085008,-0.9099999999999999
322,0.321,-7.81e-05,-4.1073489661227,-0.909
323,0.322,-0.0001953,-3.7092977567121457,-0.9079999999999999
324,0.323,-0.000703,-3.153044674980176,-0.907
325,0.324,-0.0004296,-3.3669357273085008,-0.9059999999999999
326,0.325,-0.0004296,-3.3669357273085008,-0.905
327,0.326,-0.00046865,-3.3291513786377154,-0.9039999999999999
328,0.327,-0.0002734,-3.5632014897681965,-0.903
329,0.328,-0.0004296,-3.3669357273085008,-0.9019999999999999
330,0.329,-0.00023435,-3.630135042143771,-0.901
331,0.33,-0.0001953,-3.7092977567121457,-0.8999999999999999
332,0.331,0.00011715,-3.9312577070670183,-0.899
333,0.332,-0.00011715,-3.9312577070670183,-0.8979999999999999
334,0.333,-7.81e-05,-4.1073489661227,-0.897
335,0.334,0.00019525,-3.709408957450662,-0.8959999999999999
336,0.335,-2.1415e-09,-8.669281921267412,-0.895
337,0.336,0.00019525,-3.709408957450662,-0.8939999999999999
338,0.337,0.00019525,-3.709408957450662,-0.893
339,0.338,-7.81e-05,-4.1073489661227,-0.8919999999999999
340,0.339,-7.81e-05,-4.1073489661227,-0.891
