Source file,Ni_foil_LSV 2.3 ohm.txt
Reference electrode potential (V vs. RHE),
Equilibrium potential (V vs. RHE),1.23
Working area (cm^2),2

Point,Corrected potential (V),Current density (mA/cm^2),log10(|j| / mA cm^-2),Overpotential (V)
469,0.468,0.091,-1.0409586076789064,-0.762
470,0.469,0.0877,-1.0570004066339596,-0.761
471,0.47,0.08415,-1.0749458796881572,-0.76
472,0.471,0.08184999999999999,-1.0869813162520399,-0.759
473,0.472,0.07894999999999999,-1.102647865655687,-0.758
474,0.473,0.0761,-1.1186153432294272,-0.757
475,0.474,0.07335,-1.1345998818206986,-0.756
476,0.475,0.07125,-1.1472151313194523,-0.755
477,0.476,0.06905,-1.16083631708535,-0.754
478,0.477,0.06735,-1.1716623999409956,-0.753
479,0.478,0.0652,-1.1857524042680798,-0.752
480,0.479,0.0637,-1.1958605676646494,-0.751
481,0.48,0.061450000000000005,-1.2114781127775271,-0.75
482,0.481,0.060050000000000006,-1.221486988261075,-0.749
483,0.482,0.058449999999999995,-1.233215484502141,-0.748
484,0.483,0.057,-1.2441251443275085,-0.747
485,0.484,0.055600000000000004,-1.2549252084179425,-0.746
486,0.485,0.054200000000000005,-1.2660007134616131,-0.745
487,0.486,0.0531,-1.274905478918531,-0.744
488,0.487,0.05195,-1.2844144481068038,-0.743
489,0.488,0.050550000000000005,-1.29627884007298,-0.742
490,0.489,0.049875,-1.3021170913051954,-0.741
491,0.49,0.048665,-1.3127832722886028,-0.74
492,0.491,0.047920000000000004,-1.319483190618745,-0.739
493,0.492,0.046669999999999996,-1.3309621991148441,-0.738
494,0.493,0.045695,-1.3401313183373205,-0.737
495,0.494,0.044835,-1.348382825905038,-0.736
496,0.495,0.04425,-1.3540867249661557,-0.735
497,0.496,0.043235,-1.3641645366883586,-0.734
498,0.497,0.042765000000000004,-1.3689115236348588,-0.733
499,0.498,0.042375,-1.3728902887888614,-0.732
500,0.499,0.04124,-1.384681343388521,-0.731
501,0.5,0.04097,-1.3875340360468578,-0.73
502,0.501,0.040345,-1.3942102801974359,-0.729
503,0.502,0.039795000000000004,-1.4001714909619896,-0.728
504,0.503,0.039525,-1.4031281213957534,-0.727
505,0.504,0.038745,-1.4117843347710015,-0.726
506,0.505,0.038430000000000006,-1.4153296155356512,-0.725
507,0.506,0.037725,-1.4233707515523726,-0.724
508,0.507,0.03726,-1.4287571494397762,-0.723
509,0.508,0.037024999999999995,-1.431504932806754,-0.722
510,0.509,0.03687,-1.4333268623938835,-0.721
511,0.51,0.03628,-1.4403327216119424,-0.72
512,0.511,0.036399999999999995,-1.438898616350944,-0.719
513,0.512,0.036399999999999995,-1.438898616350944,-0.718
514,0.513,0.03554,-1.4492825765307173,-0.717
515,0.514,0.035070000000000004,-1.4550642341184974,-0.716
516,0.515,0.03472,-1.4594202834955456,-0.715
517,0.516,0.03468,-1.4599209111958273,-0.714
518,0.517,0.034525,-1.4618663127493312,-0.713
519,0.518,0.03398,-1.4687766254669732,-0.712
520,0.519,0.03398,-1.4687766254669732,-0.711
521,0.52,0.033510000000000005,-1.4748255721647285,-0.71
522,0.521,0.032965,-1.4819469199202786,-0.709
523,0.522,0.032965,-1.4819469199202786,-0.708
524,0.523,0.03316,-1.4793854781217641,-0.707
525,0.524,0.03273,-1.4850539946919956,-0.706
526,0.525,0.032375,-1.4897902229106919,-0.705
527,0.526,0.03191,-1.4960731958064895,-0.704
528,0.527,0.03234,-1.4902599844296176,-0.703
529,0.528,0.03183,-1.497163361378997,-0.702
530,0.529,0.03183,-1.497163361378997,-0.701
531,0.53,0.031555,-1.5009318154892055,-0.7
532,0.531,0.031439999999999996,-1.5025174626326299,-0.699
533,0.532,0.031285,-1.5046638406864599,-0.698
534,0.533,0.031245000000000002,-1.505219470996573,-0.697
535,0.534,0.031090000000000003,-1.507379277956808,-0.696
536,0.535,0.03105,-1.507938395487401,-0.695
537,0.536,0.030735000000000002,-1.5123667825431237,-0.694
538,0.537,0.030855,-1.5106744492495947,-0.693
539,0.538,0.03054,-1.5151309672795976,-0.692
540,0.539,0.030694999999999997,-1.5129323622836839,-0.691
541,0.54,0.030425,-1.5167694130978975,-0.69
542,0.541,0.03019,-1.5201368869769023,-0.689
543,0.542,0.03027,-1.518987579043427,-0.688
544,0.543,0.030815000000000002,-1.5112378279333059,-0.6869999999999999
545,0.544,0.030345,-1.517912858173514,-0.6859999999999999
546,0.545,0.03015,-1.5207126835238298,-0.6849999999999999
547,0.546,0.029995,-1.5229511337265262,-0.6839999999999999
548,0.547,0.030305,-1.5184857116539712,-0.6829999999999999
549,0.548,0.03027,-1.518987579043427,-0.6819999999999999
550,0.549,0.03011,-1.5212892444872406,-0.6809999999999999
551,0.55,0.029915,-1.5241109928219347,-0.6799999999999999
552,0.551,0.030465,-1.516198817539512,-0.6789999999999999
553,0.552,0.029995,-1.5229511337265262,-0.6779999999999999
554,0.553,0.03019,-1.5201368869769023,-0.6769999999999999
555,0.554,0.03019,-1.5201368869769023,-0.6759999999999999
556,0.555,0.03054,-1.5151309672795976,-0.6749999999999999
557,0.556,0.030465,-1.516198817539512,-0.6739999999999999
558,0.557,0.03054,-1.5151309672795976,-0.6729999999999999
559,0.558,0.030580000000000003,-1.5145625189236986,-0.6719999999999999
560,0.559,0.030970000000000004,-1.5090587946432132,-0.6709999999999999
561,0.56,0.030895000000000002,-1.510111800449403,-0.6699999999999999
562,0.561,0.031204999999999997,-1.5057758130830985,-0.6689999999999999
563,0.562,0.031555,-1.5009318154892055,-0.6679999999999999
564,0.563,0.03175,-1.4982562703720055,-0.667
565,0.564,0.031595,-1.5003816402999932,-0.666
566,0.565,0.03214,-1.4929541275726743,-0.665
567,0.566,0.032064999999999996,-1.493968755746742,-0.664
568,0.567,0.032765,-1.4845898277078424,-0.663
569,0.568,0.03316,-1.4793854781217641,-0.662
570,0.569,0.033665,-1.4728213811960358,-0.661
571,0.57,0.034054999999999995,-1.4678191153813724,-0.66
572,0.571,0.034444999999999996,-1.4628738109118333,-0.659
573,0.572,0.03464,-1.460422116654691,-0.658
574,0.573,0.035460000000000005,-1.4502612687351009,-0.657
575,0.574,0.036125,-1.4421921442353958,-0.656
576,0.575,0.036905,-1.432914790336764,-0.655
577,0.576,0.037219999999999996,-1.4292236312052518,-0.654
578,0.577,0.038235000000000005,-1.4175389054750511,-0.653
579,0.578,0.03894,-1.4096040528159872,-0.652
580,0.579,0.039915,-1.39886386639293,-0.651
581,0.58,0.04089,-1.388382889445664,-0.65
582,0.581,0.041595,-1.3809588713664571,-0.649
583,0.582,0.042805,-1.3685054986134388,-0.648
584,0.583,0.043935,-1.3571893692627202,-0.647
585,0.584,0.045345,-1.3434705937665017,-0.646
586,0.585,0.04671,-1.3305901327122172,-0.645
587,0.586,0.04788,-1.319845858265627,-0.644
588,0.587,0.04952,-1.3052193639879384,-0.643
589,0.588,0.050949999999999995,-1.2928558116575548,-0.642
590,0.589,0.0527,-1.2781893847874535,-0.641
591,0.59,0.05435,-1.2648004515776867,-0.64
592,0.591,0.056549999999999996,-1.2475673907385258,-0.639
593,0.592,0.058249999999999996,-1.2347040703019434,-0.638
594,0.593,0.0606,-1.2175273758337137,-0.637
595,0.594,0.0629,-1.2013493545547311,-0.636
596,0.595,0.06535,-1.184754408083437,-0.635
597,0.596,0.06774999999999999,-1.1690907004535567,-0.634
598,0.597,0.07050000000000001,-1.1518108830086013,-0.633
599,0.598,0.07295,-1.1369747037705296,-0.632
600,0.599,0.07629999999999999,-1.1174754620451195,-0.631
601,0.6,0.07930000000000001,-1.1007268126823961,-0.63
602,0.601,0.08265,-1.0827571420925337,-0.629
603,0.602,0.08610000000000001,-1.0649968485463452,-0.628
604,0.603,0.09000000000000001,-1.045757490560675,-0.627
605,0.604,0.09344999999999999,-1.0294206942851492,-0.626
606,0.605,0.0975,-1.0109953843014632,-0.625
607,0.606,0.10179999999999999,-0.9922522219992601,-0.624
608,0.607,0.1067,-0.9718355805755301,-0.623
609,0.608,0.11134999999999999,-0.953309778629943,-0.622
610,0.609,0.11655,-0.9334877221434045,-0.621
611,0.61,0.12165000000000001,-0.9148878867331627,-0.62
612,0.611,0.1271,-0.8958544494459919,-0.619
613,0.612,0.13275,-0.8769654702464933,-0.618
614,0.613,0.13895,-0.8571414488866094,-0.617
615,0.614,0.1449,-0.8389316145288254,-0.616
616,0.615,0.1514,-0.819874124835946,-0.615
617,0.616,0.15825,-0.8006562813106073,-0.614
618,0.617,0.1656,-0.7809396675511386,-0.613
619,0.618,0.1735,-0.7607005208731075,-0.612
620,0.619,0.1817,-0.7406450726919657,-0.611
621,0.62,0.19,-0.721246399047171,-0.61
622,0.621,0.19870000000000002,-0.7018021328901848,-0.609
623,0.622,0.208,-0.6819366650372385,-0.608
624,0.623,0.21785000000000002,-0.6618424357282272,-0.607
625,0.624,0.2282,-0.6416843599178041,-0.606
626,0.625,0.2395,-0.620694482249418,-0.605
627,0.626,0.2508,-0.6006724678413211,-0.604
628,0.627,0.26265,-0.5806225948608726,-0.603
629,0.628,0.275,-0.5606673061697374,-0.602
630,0.629,0.2882,-0.5403060235220295,-0.601
631,0.63,0.30200000000000005,-0.5199930570428493,-0.6
632,0.631,0.31625000000000003,-0.4999694658161256,-0.599
633,0.632,0.33044999999999997,-0.48089424379355117,-0.598
634,0.633,0.34555,-0.4614891026950123,-0.597
635,0.634,0.36205,-0.44123144818341553,-0.596
636,0.635,0.37815,-0.42233589526787285,-0.595
637,0.636,0.3947,-0.4037328736044847,-0.594
638,0.637,0.41255000000000003,-0.3845234085488255,-0.593
639,0.638,0.4319,-0.36461679595250146,-0.592
640,0.639,0.45115,-0.34567903829632135,-0.591
641,0.64,0.4702,-0.3277173752110794,-0.59
642,0.641,0.4912,-0.30874164186688874,-0.589
643,0.642,0.5125000000000001,-0.29030613027220803,-0.588
644,0.643,0.535,-0.27164621797877153,-0.587
645,0.644,0.559,-0.25258819211357664,-0.586
646,0.645,0.5820000000000001,-0.23507701535011147,-0.585
647,0.646,0.6065,-0.2171691947974082,-0.584
648,0.647,0.631,-0.19997064075586568,-0.583
649,0.648,0.6565,-0.18276526957450187,-0.582
650,0.649,0.6849999999999999,-0.16430942850757446,-0.581
651,0.65,0.713,-0.14691047014813446,-0.58
652,0.651,0.741,-0.13018179202067184,-0.579
653,0.652,0.771,-0.11294562194904302,-0.578
654,0.653,0.8025,-0.09555495892309032,-0.577
655,0.654,0.833,-0.07935499859321243,-0.576
656,0.655,0.8645,-0.06323500239005861,-0.575
657,0.656,0.898,-0.04672366333269562,-0.574
658,0.657,0.9355,-0.028956208163971278,-0.573
659,0.658,0.9705,-0.01300446027561836,-0.572
660,0.659,1.0055,0.002382074932760771,-0.571
661,0.66,1.042,0.017867718963505686,-0.57
662,0.661,1.0795,0.03322264667024956,-0.569
663,0.662,1.117,0.048053173115609055,-0.568
664,0.663,1.1575,0.06352099968999074,-0.567
665,0.664,1.1995,0.07900025230384944,-0.566
666,0.665,1.24,0.09342168516223506,-0.565
667,0.666,1.2830000000000001,0.10822665637492855,-0.564
668,0.667,1.327,0.1228709228644355,-0.563
669,0.668,1.3705,0.1368790398755172,-0.5619999999999999
670,0.669,1.417,0.1513698502474604,-0.5609999999999999
671,0.67,1.4649999999999999,0.16583762469012822,-0.5599999999999999
672,0.671,1.5130000000000001,0.17983892802318674,-0.5589999999999999
673,0.672,1.562,0.19368102954128152,-0.5579999999999999
674,0.673,1.6119999999999999,0.2073650374690718,-0.5569999999999999
675,0.674,1.6635,0.2210228052048413,-0.5559999999999999
676,0.675,1.7149999999999999,0.23426412437878927,-0.5549999999999999
677,0.676,1.768,0.24748226067705428,-0.5539999999999999
678,0.677,1.821,0.26030994579492,-0.5529999999999999
679,0.678,1.873,0.2725377773752374,-0.5519999999999999
680,0.679,1.928,0.28510702956681194,-0.5509999999999999
681,0.68,1.9849999999999999,0.2977605110991338,-0.5499999999999999
682,0.681,2.0439999999999996,0.31048089146267505,-0.5489999999999999
683,0.682,2.1025,0.32273600446994977,-0.5479999999999999
684,0.683,2.1645000000000003,0.3353575901491755,-0.5469999999999999
685,0.684,2.2255000000000003,0.3474275986185414,-0.5459999999999999
686,0.685,2.2889999999999997,0.35964579267454283,-0.5449999999999999
687,0.686,2.35,0.37106786227173627,-0.5439999999999999
688,0.687,2.4130000000000003,0.3825573219087859,-0.5429999999999999
689,0.688,2.4755,0.39366293066750285,-0.542
690,0.689,2.539,0.40466270087372225,-0.541
691,0.69,2.601,0.41514035219587275,-0.54
692,0.691,2.669,0.4263485737875077,-0.539
693,0.692,2.7375,0.43735412784817473,-0.538
694,0.693,2.8075,0.4483197649334954,-0.537
695,0.694,2.8765,0.4588643783615181,-0.536
696,0.695,2.948,0.4695274791870139,-0.535
697,0.696,3.019,0.47986311302309775,-0.534
698,0.697,3.0855,0.4893255507504053,-0.533
699,0.698,3.159,0.49954962590514895,-0.532
700,0.699,3.2335,0.5096728652831355,-0.531
701,0.7,3.3075,0.5194998528595386,-0.53
702,0.701,3.3815,0.5291093917613615,-0.529
703,0.702,3.463,0.5394524915494608,-0.528
704,0.703,3.5395000000000003,0.5489419166648689,-0.527
705,0.704,3.6145,0.5580482290829881,-0.526
706,0.705,3.693,0.5673793076509788,-0.525
707,0.706,3.7725,0.5766292484476274,-0.524
708,0.707,3.8535000000000004,0.5858553633220275,-0.523
709,0.708,3.9370000000000003,0.5951654147902296,-0.522
710,0.709,4.019,0.6041180061920349,-0.521
711,0.71,4.1045,0.6132602600019679,-0.52
712,0.711,4.1865000000000006,0.6218510955443124,-0.519
713,0.712,4.2745,0.6308853214172648,-0.518
714,0.713,4.3595,0.6394366819995477,-0.517
715,0.714,4.442,0.6475785542124551,-0.516
716,0.715,4.5305,0.656146134740865,-0.515
717,0.716,4.617999999999999,0.6644539285811575,-0.514
718,0.717,4.7095,0.6729748012334335,-0.513
719,0.718,4.795,0.6807886115066824,-0.512
720,0.719,4.8855,0.6889090176205543,-0.511
721,0.72,4.9719999999999995,0.6965311199696071,-0.51
722,0.721,5.065,0.7045794496962993,-0.509
723,0.722,5.155,0.7122286696195353,-0.508
724,0.723,5.25,0.7201593034059569,-0.507
725,0.724,5.345,0.7279477095447968,-0.506
726,0.725,5.435,0.7351995484223133,-0.505
727,0.726,5.525,0.7423322823571483,-0.504
728,0.727,5.625,0.7501225267834001,-0.503
729,0.728,5.720000000000001,0.7573960287930243,-0.502
730,0.729,5.8149999999999995,0.7645497190644672,-0.501
731,0.73,5.91,0.7715874808812554,-0.5
732,0.731,6.01,0.7788744720027395,-0.499
733,0.732,6.105,0.7856856682809014,-0.498
734,0.733,6.2,0.7923916894982539,-0.497
735,0.734,6.3,0.7993405494535817,-0.496
736,0.735,6.395,0.8058405488146727,-0.495
737,0.736,6.5,0.8129133566428556,-0.494
738,0.737,6.6049999999999995,0.819872821950546,-0.493
739,0.738,6.705,0.8263987821876178,-0.492
740,0.739,6.8,0.8325089127062363,-0.491
741,0.74,6.8999999999999995,0.8388490907372553,-0.49
742,0.741,7.005,0.8454081396217934,-0.489
743,0.742,7.095,0.8509523997934928,-0.488
744,0.743,7.21,0.857935264719429,-0.487
745,0.744,7.32,0.8645110810583919,-0.486
746,0.745,7.43,0.8709888137605752,-0.485
747,0.746,7.53,0.8767949762007006,-0.484
748,0.747,7.64,0.8830933585756899,-0.483
749,0.748,7.745,0.8890214220952248,-0.482
750,0.749,7.85,0.8948696567452525,-0.481
751,0.75,7.96,0.900913067737669,-0.48
752,0.751,8.059999999999999,0.9063350418050906,-0.479
753,0.752,8.184999999999999,0.9130186837479601,-0.478
754,0.753,8.295,0.9188163903603795,-0.477
755,0.754,8.405,0.9245377177754898,-0.476
756,0.755,8.515,0.9301846522986199,-0.475
757,0.756,8.615,0.9352552817840473,-0.474
758,0.757,8.735,0.9412629093189497,-0.473
759,0.758,8.85,0.9469432706978255,-0.472
760,0.759,8.959999999999999,0.9523080096621251,-0.471
761,0.76,9.08,0.9580858485210851,-0.47
762,0.761,9.175,0.962606072924127,-0.469
763,0.762,9.299999999999999,0.968482948553935,-0.46799999999999997
764,0.763,9.42,0.9740509027928773,-0.46699999999999997
765,0.764,9.535,0.9793206973820244,-0.46599999999999997
766,0.765,9.639999999999999,0.9840770339028307,-0.46499999999999997
767,0.766,9.76,0.9894498176666918,-0.46399999999999997
768,0.767,9.879999999999999,0.9947569445876281,-0.46299999999999997
769,0.768,10.0,1.0,-0.46199999999999997
770,0.769,10.11,1.0047511555910011,-0.46099999999999997
771,0.77,10.229999999999999,1.0098756337121602,-0.45999999999999996
772,0.771,10.345,1.0147304950017535,-0.45899999999999996
773,0.772,10.465,1.0197392326747052,-0.45799999999999996
774,0.773,10.585,1.0246908623554307,-0.45699999999999996
775,0.774,10.695,1.0291807889075468,-0.45599999999999996
776,0.775,10.82,1.0342272607705507,-0.45499999999999996
777,0.776,10.94,1.039017321997412,-0.45399999999999996
778,0.777,11.06,1.0437551269686796,-0.45299999999999996
779,0.778,11.180000000000001,1.0484418035504046,-0.45199999999999996
780,0.779,11.295,1.052886235256382,-0.45099999999999996
781,0.78,11.415,1.057475915826254,-0.44999999999999996
782,0.781,11.530000000000001,1.0618293072946992,-0.44899999999999995
783,0.782,11.655000000000001,1.0665122778565956,-0.44799999999999995
784,0.783,11.780000000000001,1.071145290451083,-0.44699999999999995
785,0.784,11.895,1.075364446373285,-0.44599999999999995
786,0.785,12.02,1.0799044676667207,-0.44499999999999995
787,0.786,12.145,1.0843975191411492,-0.44399999999999995
788,0.787,12.27,1.0888445627270043,-0.44299999999999995
789,0.788,12.385,1.0928960109218557,-0.44199999999999995
790,0.789,12.515,1.0974308539442421,-0.44099999999999995
791,0.79,12.635,1.1015752462559336,-0.43999999999999995
792,0.791,12.76,1.1058506743851435,-0.43899999999999995
793,0.792,12.88,1.1099158630237933,-0.43799999999999994
794,0.793,13.010000000000002,1.1142772965615864,-0.43699999999999994
795,0.794,13.129999999999999,1.1182647260894794,-0.43599999999999994
796,0.795,13.26,1.1225435240687542,-0.43499999999999994
797,0.796,13.39,1.126780577012009,-0.43399999999999994
798,0.797,13.51,1.1306553490220306,-0.43299999999999994
799,0.798,13.615,1.1340176456759834,-0.43199999999999994
800,0.799,13.74,1.1379867327235316,-0.43099999999999994
