Source file,Ni_foil_LSV 2.3 ohm.txt
Reference electrode potential (V vs. RHE),
Working area (cm^2),2

Point,Original Potential (V),Original Current (mA),"Potential (V, iR-corrected)",Current density / mA cm^-2
567,0.566,0.06412999999999999,0.566,0.032064999999999996
568,0.567,0.06553,0.567,0.032765
569,0.568,0.06632,0.568,0.03316
570,0.569,0.06733,0.569,0.033665
571,0.57,0.06810999999999999,0.57,0.034054999999999995
572,0.571,0.06888999999999999,0.571,0.034444999999999996
573,0.572,0.06928,0.572,0.03464
574,0.573,0.07092000000000001,0.573,0.035460000000000005
575,0.574,0.07225,0.574,0.036125
576,0.575,0.07381,0.575,0.036905
577,0.576,0.07443999999999999,0.576,0.037219999999999996
578,0.577,0.07647000000000001,0.577,0.038235000000000005
579,0.578,0.07788,0.578,0.03894
580,0.579,0.07983,0.579,0.039915
581,0.58,0.08178,0.58,0.04089
582,0.581,0.08319,0.581,0.041595
583,0.582,0.08561,0.582,0.042805
584,0.583,0.08787,0.583,0.043935
585,0.584,0.09069,0.584,0.045345
586,0.585,0.09342,0.585,0.04671
587,0.586,0.09576,0.586,0.04788
588,0.587,0.09904,0.587,0.04952
589,0.588,0.10189999999999999,0.588,0.050949999999999995
590,0.589,0.1054,0.589,0.0527
591,0.59,0.1087,0.59,0.05435
592,0.591,0.11309999999999999,0.591,0.056549999999999996
593,0.592,0.11649999999999999,0.592,0.058249999999999996
594,0.593,0.1212,0.593,0.0606
595,0.594,0.1258,0.594,0.0629
596,0.595,0.1307,0.595,0.06535
597,0.596,0.13549999999999998,0.596,0.06774999999999999
598,0.597,0.14100000000000001,0.597,0.07050000000000001
599,0.598,0.1459,0.598,0.07295
600,0.599,0.15259999999999999,0.599,0.07629999999999999
601,0.6,0.15860000000000002,0.6,0.07930000000000001
602,0.601,0.1653,0.601,0.08265
603,0.602,0.17220000000000002,0.602,0.08610000000000001
604,0.603,0.18000000000000002,0.603,0.09000000000000001
605,0.604,0.18689999999999998,0.604,0.09344999999999999
606,0.605,0.195,0.605,0.0975
607,0.606,0.20359999999999998,0.606,0.10179999999999999
608,0.607,0.2134,0.607,0.1067
609,0.608,0.22269999999999998,0.608,0.11134999999999999
610,0.609,0.2331,0.609,0.11655
611,0.61,0.24330000000000002,0.61,0.12165000000000001
612,0.611,0.2542,0.611,0.1271
613,0.612,0.2655,0.612,0.13275
614,0.613,0.2779,0.613,0.13895
615,0.614,0.2898,0.614,0.1449
616,0.615,0.3028,0.615,0.1514
617,0.616,0.3165,0.616,0.15825
618,0.617,0.3312,0.617,0.1656
619,0.618,0.347,0.618,0.1735
620,0.619,0.3634,0.619,0.1817
621,0.62,0.38,0.62,0.19
622,0.621,0.39740000000000003,0.621,0.19870000000000002
623,0.622,0.416,0.622,0.208
624,0.623,0.43570000000000003,0.623,0.21785000000000002
625,0.624,0.4564,0.624,0.2282
626,0.625,0.479,0.625,0.2395
627,0.626,0.5016,0.626,0.2508
628,0.627,0.5253,0.627,0.26265
629,0.628,0.55,0.628,0.275
630,0.629,0.5764,0.629,0.2882
631,0.63,0.6040000000000001,0.63,0.30200000000000005
632,0.631,0.6325000000000001,0.631,0.31625000000000003
633,0.632,0.6608999999999999,0.632,0.33044999999999997
634,0.633,0.6911,0.633,0.34555
635,0.634,0.7241,0.634,0.36205
636,0.635,0.7563,0.635,0.37815
637,0.636,0.7894,0.636,0.3947
638,0.637,0.8251000000000001,0.637,0.41255000000000003
639,0.638,0.8638,0.638,0.4319
640,0.639,0.9023,0.639,0.45115
641,0.64,0.9404,0.64,0.4702
642,0.641,0.9824,0.641,0.4912
643,0.642,1.0250000000000001,0.642,0.5125000000000001
644,0.643,1.07,0.643,0.535
645,0.644,1.118,0.644,0.559
646,0.645,1.1640000000000001,0.645,0.5820000000000001
647,0.646,1.213,0.646,0.6065
648,0.647,1.262,0.647,0.631
649,0.648,1.313,0.648,0.6565
650,0.649,1.3699999999999999,0.649,0.6849999999999999
651,0.65,1.426,0.65,0.713
652,0.651,1.482,0.651,0.741
653,0.652,1.542,0.652,0.771
654,0.653,1.605,0.653,0.8025
655,0.654,1.666,0.654,0.833
656,0.655,1.729,0.655,0.8645
657,0.656,1.796,0.656,0.898
658,0.657,1.871,0.657,0.9355
659,0.658,1.941,0.658,0.9705
660,0.659,2.011,0.659,1.0055
661,0.66,2.084,0.66,1.042
662,0.661,2.159,0.661,1.0795
663,0.662,2.234,0.662,1.117
664,0.663,2.315,0.663,1.1575
665,0.664,2.399,0.664,1.1995
666,0.665,2.48,0.665,1.24
667,0.666,2.5660000000000003,0.666,1.2830000000000001
668,0.667,2.654,0.667,1.327
669,0.668,2.741,0.668,1.3705
670,0.669,2.834,0.669,1.417
671,0.67,2.9299999999999997,0.67,1.4649999999999999
672,0.671,3.0260000000000002,0.671,1.5130000000000001
673,0.672,3.124,0.672,1.562
674,0.673,3.2239999999999998,0.673,1.6119999999999999
675,0.674,3.327,0.674,1.6635
676,0.675,3.4299999999999997,0.675,1.7149999999999999
677,0.676,3.536,0.676,1.768
678,0.677,3.642,0.677,1.821
679,0.678,3.746,0.678,1.873
680,0.679,3.856,0.679,1.928
681,0.68,3.9699999999999998,0.68,1.9849999999999999
682,0.681,4.087999999999999,0.681,2.0439999999999996
683,0.682,4.205,0.682,2.1025
684,0.683,4.329000000000001,0.683,2.1645000000000003
685,0.684,4.4510000000000005,0.684,2.2255000000000003
686,0.685,4.577999999999999,0.685,2.2889999999999997
687,0.686,4.7,0.686,2.35
688,0.687,4.8260000000000005,0.687,2.4130000000000003
689,0.688,4.951,0.688,2.4755
690,0.689,5.078,0.689,2.539
691,0.69,5.202,0.69,2.601
692,0.691,5.338,0.691,2.669
693,0.692,5.475,0.692,2.7375
694,0.693,5.615,0.693,2.8075
695,0.694,5.753,0.694,2.8765
696,0.695,5.896,0.695,2.948
697,0.696,6.038,0.696,3.019
698,0.697,6.171,0.697,3.0855
699,0.698,6.318,0.698,3.159
700,0.699,6.467,0.699,3.2335
701,0.7,6.615,0.7,3.3075
702,0.701,6.763,0.701,3.3815
703,0.702,6.926,0.702,3.463
704,0.703,7.079000000000001,0.703,3.5395000000000003
705,0.704,7.229,0.704,3.6145
706,0.705,7.386,0.705,3.693
707,0.706,7.545,0.706,3.7725
708,0.707,7.707000000000001,0.707,3.8535000000000004
709,0.708,7.8740000000000006,0.708,3.9370000000000003
710,0.709,8.038,0.709,4.019
711,0.71,8.209,0.71,4.1045
712,0.711,8.373000000000001,0.711,4.1865000000000006
713,0.712,8.549,0.712,4.2745
714,0.713,8.719,0.713,4.3595
715,0.714,8.884,0.714,4.442
716,0.715,9.061,0.715,4.5305
717,0.716,9.235999999999999,0.716,4.617999999999999
718,0.717,9.419,0.717,4.7095
719,0.718,9.59,0.718,4.795
720,0.719,9.771,0.719,4.8855
721,0.72,9.943999999999999,0.72,4.9719999999999995
722,0.721,10.13,0.721,5.065
723,0.722,10.31,0.722,5.155
724,0.723,10.5,0.723,5.25
725,0.724,10.69,0.724,5.345
726,0.725,10.87,0.725,5.435
727,0.726,11.05,0.726,5.525
728,0.727,11.25,0.727,5.625
729,0.728,11.440000000000001,0.728,5.720000000000001
730,0.729,11.629999999999999,0.729,5.8149999999999995
731,0.73,11.82,0.73,5.91
732,0.731,12.02,0.731,6.01
733,0.732,12.21,0.732,6.105
734,0.733,12.4,0.733,6.2
735,0.734,12.6,0.734,6.3
736,0.735,12.79,0.735,6.395
737,0.736,13.0,0.736,6.5
738,0.737,13.209999999999999,0.737,6.6049999999999995
739,0.738,13.41,0.738,6.705
740,0.739,13.6,0.739,6.8
741,0.74,13.799999999999999,0.74,6.8999999999999995
742,0.741,14.01,0.741,7.005
743,0.742,14.19,0.742,7.095
744,0.743,14.42,0.743,7.21
745,0.744,14.64,0.744,7.32
746,0.745,14.86,0.745,7.43
747,0.746,15.06,0.746,7.53
748,0.747,15.28,0.747,7.64
749,0.748,15.49,0.748,7.745
750,0.749,15.7,0.749,7.85
751,0.75,15.92,0.75,7.96
752,0.751,16.119999999999997,0.751,8.059999999999999
753,0.752,16.369999999999997,0.752,8.184999999999999
754,0.753,16.59,0.753,8.295
755,0.754,16.81,0.754,8.405
756,0.755,17.03,0.755,8.515
757,0.756,17.23,0.756,8.615
758,0.757,17.47,0.757,8.735
759,0.758,17.7,0.758,8.85
760,0.759,17.919999999999998,0.759,8.959999999999999
761,0.76,18.16,0.76,9.08
762,0.761,18.35,0.761,9.175
763,0.762,18.599999999999998,0.762,9.299999999999999
764,0.763,18.84,0.763,9.42
765,0.764,19.07,0.764,9.535
766,0.765,19.279999999999998,0.765,9.639999999999999
767,0.766,19.52,0.766,9.76
768,0.767,19.759999999999998,0.767,9.879999999999999
769,0.768,20.0,0.768,10.0
770,0.769,20.22,0.769,10.11
771,0.77,20.459999999999997,0.77,10.229999999999999
772,0.771,20.69,0.771,10.345
773,0.772,20.93,0.772,10.465
774,0.773,21.17,0.773,10.585
775,0.774,21.39,0.774,10.695
776,0.775,21.64,0.775,10.82
777,0.776,21.88,0.776,10.94
778,0.777,22.12,0.777,11.06
779,0.778,22.360000000000003,0.778,11.180000000000001
780,0.779,22.59,0.779,11.295
781,0.78,22.83,0.78,11.415
782,0.781,23.060000000000002,0.781,11.530000000000001
783,0.782,23.310000000000002,0.782,11.655000000000001
784,0.783,23.560000000000002,0.783,11.780000000000001
785,0.784,23.79,0.784,11.895
786,0.785,24.04,0.785,12.02
787,0.786,24.29,0.786,12.145
788,0.787,24.54,0.787,12.27
789,0.788,24.77,0.788,12.385
790,0.789,25.03,0.789,12.515
791,0.79,25.27,0.79,12.635
792,0.791,25.52,0.791,12.76
793,0.792,25.76,0.792,12.88
794,0.793,26.020000000000003,0.793,13.010000000000002
795,0.794,26.259999999999998,0.794,13.129999999999999
796,0.795,26.52,0.795,13.26
797,0.796,26.78,0.796,13.39
798,0.797,27.02,0.797,13.51
799,0.798,27.23,0.798,13.615
800,0.799,27.48,0.799,13.74
