Source file,Ni_foil_EIS 0.718 V.txt
Working area (cm^2),2

Frequency (Hz),Z' (ohm cm^2),-Z'' (ohm cm^2),Z (ohm cm^2),Phase (deg)
999000.0,6.89,-1.1768,6.988,9.7
825200.0,6.434,-1.1334,6.532,10.0
681600.0,6.158,-1.0282,6.244,9.5
562500.0,5.898,-1.063,5.992,10.2
463900.0,5.716,-1.0942,5.82,10.8
382800.0,5.52,-1.1542,5.638,11.8
316400.0,5.322,-1.1862,5.452,12.6
260700.0,5.102,-1.1966,5.242,13.2
215800.0,4.668,-0.8752,4.748,10.6
177700.0,4.154,-0.352,4.17,4.8
146500.0,3.866,-0.018196,3.866,0.3
121100.0,3.762,0.12094,3.764,-1.8
99610.0,3.778,0.12106,3.78,-1.8
82520.0,3.82,0.08348,3.822,-1.3
68120.0,3.854,0.04962,3.854,-0.7
56150.0,3.866,0.0379,3.866,-0.6
46390.0,3.866,0.0387,3.868,-0.6
38330.0,3.864,0.04654,3.864,-0.7
31740.0,3.864,0.05488,3.864,-0.8
26120.0,3.864,0.0634,3.866,-0.9
21480.0,3.87,0.07096,3.87,-1.1
17820.0,3.874,0.07982,3.874,-1.2
14650.0,3.88,0.09068,3.882,-1.3
12210.0,3.886,0.10294,3.888,-1.5
10010.0,3.89,0.11758,3.892,-1.7
8301.0,3.896,0.13524,3.898,-2.0
6836.0,3.902,0.15458,3.904,-2.3
5615.0,3.908,0.17632,3.912,-2.6
4639.0,3.916,0.2008,3.922,-2.9
3906.0,3.926,0.23,3.934,-3.4
3174.0,3.938,0.2636,3.948,-3.8
2686.0,3.952,0.3026,3.964,-4.4
2197.0,3.972,0.3542,3.988,-5.1
1709.0,3.994,0.4142,4.016,-5.9
1465.0,4.018,0.4784,4.046,-6.8
1221.0,4.046,0.555,4.084,-7.8
976.6,4.088,0.6426,4.138,-8.9
825.2,4.14,0.7416,4.206,-10.2
683.6,4.196,0.861,4.284,-11.6
561.5,4.258,1.003,4.376,-13.3
463.9,4.33,1.1716,4.486,-15.1
380.9,4.416,1.3668,4.624,-17.2
317.4,4.528,1.5956,4.802,-19.4
258.8,4.672,1.8604,5.03,-21.7
214.8,4.864,2.162,5.322,-24.0
175.8,5.11,2.496,5.688,-26.0
146.5,5.422,2.844,6.122,-27.7
122.1,5.84,3.212,6.664,-28.8
97.66,6.372,3.528,7.284,-29.0
82.54,6.99,3.752,7.934,-28.2
68.13,7.678,3.898,8.61,-26.9
56.23,8.396,3.948,9.278,-25.2
46.42,9.114,3.892,9.91,-23.1
38.31,9.794,3.728,10.48,-20.8
31.62,10.406,3.474,10.97,-18.5
26.1,10.928,3.156,11.374,-16.1
21.54,11.354,2.81,11.698,-13.9
17.78,11.692,2.46,11.946,-11.9
14.68,11.95,2.126,12.138,-10.1
12.12,12.146,1.8246,12.282,-8.5
10.0,12.292,1.5552,12.39,-7.2
8.254,12.402,1.321,12.472,-6.1
6.813,12.482,1.1156,12.532,-5.1
5.623,12.542,0.94,12.576,-4.3
4.642,12.588,0.792,12.612,-3.6
3.831,12.62,0.6638,12.638,-3.0
3.162,12.628,0.566,12.64,-2.6
2.61,12.626,0.4948,12.636,-2.2
2.154,12.626,0.444,12.634,-2.0
1.778,12.626,0.4026,12.632,-1.8
1.468,12.644,0.3612,12.65,-1.6
1.212,12.67,0.301,12.674,-1.4
1.0,12.7,0.2114,12.702,-1.0
