Overpotential / V,<I>/A,Tafel
-0.2443198,-3.23E-07,-6.49079365536253
-0.24530811,-5.49E-07,-6.26045616560888
-0.24628652,-8.81E-07,-6.05487166153668
-0.24733258,-1.20E-06,-5.92233162553474
-0.24832363,-1.40E-06,-5.85396137587616
-0.24931575,-1.76E-06,-5.75532679033643
-0.25029922,-1.95E-06,-5.71086324837557
-0.25131429,-2.29E-06,-5.64021677541262
-0.25230957,-2.51E-06,-5.60067670357954
-0.25330026,-2.83E-06,-5.54878559460463
-0.25428773,-3.16E-06,-5.50066547433065
-0.25530834,-3.41E-06,-5.46661881605086
-0.25631548,-3.64E-06,-5.43864932560021
-0.25729615,-3.96E-06,-5.40207594220927
-0.25830061,-4.33E-06,-5.36381753985464
-0.25930608,-4.63E-06,-5.33436106500738
-0.26031161,-4.89E-06,-5.31089389229924
-0.26130206,-5.27E-06,-5.27838744827484
-0.26232172,-5.59E-06,-5.25287177749426
-0.26330692,-5.99E-06,-5.22228439588013
-0.26430745,-6.35E-06,-5.19708503410903
-0.26530737,-6.73E-06,-5.17211766892394
-0.26630462,-7.06E-06,-5.15137555673095
-0.26730335,-7.42E-06,-5.1296425040127
-0.26830883,-7.79E-06,-5.10831908770604
-0.26931924,-8.18E-06,-5.08717593382454
-0.2703116,-8.60E-06,-5.06531513872515
-0.27132643,-9.09E-06,-5.04166423348095
-0.2723086,-9.52E-06,-5.0212894869661
-0.27330948,-9.98E-06,-5.00069354951893
-0.27431918,-1.04E-05,-4.98311815411433
-0.27530897,-1.09E-05,-4.96152860378529
-0.27629567,-1.14E-05,-4.94398758591065
-0.2773037,-1.19E-05,-4.92280371025325
-0.27830667,-1.25E-05,-4.90459629745067
-0.27932704,-1.30E-05,-4.88539050552723
-0.28031386,-1.35E-05,-4.86990571232099
-0.28130598,-1.42E-05,-4.84796578995277
-0.28229869,-1.47E-05,-4.8320317560283
-0.28331584,-1.54E-05,-4.8119642176703
-0.28429098,-1.60E-05,-4.79631186699174
-0.28529752,-1.66E-05,-4.77911204628435
-0.28629858,-1.73E-05,-4.76263265975622
-0.28730703,-1.81E-05,-4.74324603474939
-0.28831,-1.88E-05,-4.72627692638388
-0.28932065,-1.95E-05,-4.70924651659125
-0.29030276,-2.02E-05,-4.69468169239889
-0.29131443,-2.11E-05,-4.67615272303266
-0.29231257,-2.19E-05,-4.65879844564665
-0.29330946,-2.28E-05,-4.64181845981351
-0.2942893,-2.36E-05,-4.62658404522395
-0.29532195,-2.45E-05,-4.61073707104629
-0.29632539,-2.54E-05,-4.59536816774019
-0.29731113,-2.64E-05,-4.57857414192388
-0.29831213,-2.73E-05,-4.56370626041648
-0.29932136,-2.85E-05,-4.54560243090142
-0.30031813,-2.95E-05,-4.53043923834707
-0.3013298,-3.06E-05,-4.51467264200343
-0.30232937,-3.17E-05,-4.49929953280042
-0.30331475,-3.28E-05,-4.48351710938905
-0.30430091,-3.40E-05,-4.46906709273898
-0.30531026,-3.52E-05,-4.45310522667862
-0.30631161,-3.64E-05,-4.43845519595052
-0.30731565,-3.79E-05,-4.4210661306607
-0.30831356,-3.91E-05,-4.40751204793936
-0.30930717,-4.06E-05,-4.39154372636839
-0.31031585,-4.19E-05,-4.37755977912078
-0.31131984,-4.34E-05,-4.36237376327922
-0.31231017,-4.48E-05,-4.34861639418275
-0.3133036,-4.65E-05,-4.33240338104127
-0.31429703,-4.80E-05,-4.31863098713546
-0.31530041,-4.97E-05,-4.30371484834979
-0.31631613,-5.13E-05,-4.28995479862811
-0.31732035,-5.33E-05,-4.27347603341888
-0.31830258,-5.49E-05,-4.26061683380732
-0.31932092,-5.68E-05,-4.2455985866222
-0.3203323,-5.85E-05,-4.23292546442917
-0.32131321,-6.07E-05,-4.21684645757562
-0.32232369,-6.25E-05,-4.20382549457021
-0.3233071,-6.46E-05,-4.18996519623517
-0.32431919,-6.66E-05,-4.17649776433423
-0.32531602,-6.90E-05,-4.16142430388997
-0.32631821,-7.12E-05,-4.1476569317309
-0.32732607,-7.33E-05,-4.13465375403308
-0.32832272,-7.57E-05,-4.1210721490803
-0.32931996,-7.83E-05,-4.10649200098346
-0.33031977,-8.05E-05,-4.09402744890205
-0.33131612,-8.31E-05,-4.08049579633356
-0.33232433,-8.59E-05,-4.06611058144826
-0.33332092,-8.82E-05,-4.05431553429087
-0.33431257,-9.10E-05,-4.04091255108343
-0.33533926,-9.38E-05,-4.02757734046499
-0.33631761,-9.67E-05,-4.01445498123159
-0.33732326,-9.96E-05,-4.00194333939628
-0.33833087,-0.000102651572855,-3.98863439186449
-0.33932925,-0.00010552340501,-3.97665120349947
-0.3403234,-0.000108986749469,-3.96262630006219
-0.34133238,-0.000111896345064,-3.95118409885486
-0.34231556,-0.000115454050661,-3.9375908254262
-0.34332801,-0.000118528701089,-3.92617647484086
-0.34433193,-0.000122124752392,-3.91319630380472
-0.3453368,-0.000125513677089,-3.90130894700788
-0.34633232,-0.000129594262327,-3.88741422604883
-0.34733117,-0.000132802219061,-3.87679466805577
-0.3483432,-0.000136570121679,-3.86464430365037
-0.34932137,-0.000140334531941,-3.85283544952734
-0.35032023,-0.000144341516774,-3.84060873534709
-0.35132284,-0.000148218092595,-3.82909877992948
-0.35232539,-0.000152710556329,-3.81613094069874
-0.3533339,-0.000156348865686,-3.80590526522383
-0.35431493,-0.0001606363095,-3.79415628201438
-0.35532678,-0.000164667293654,-3.78339265217392
-0.35633446,-0.00016957433082,-3.77063988808835
-0.35732491,-0.000173551423009,-3.76057182104395
-0.3583212,-0.000178426536887,-3.74854055373587
-0.35932405,-0.000182672361447,-3.73832715696729
-0.36032004,-0.000187697152435,-3.72654231603762
-0.36131311,-0.000192149006796,-3.71636185602964
-0.36231453,-0.000197553270358,-3.70431577647671
-0.36329711,-0.000202107970258,-3.6944165594646
-0.36430491,-0.000207481636114,-3.68302033599934
-0.36532135,-0.00021213801219,-3.67338150496276
-0.36632425,-0.000217888775696,-3.66176514138775
-0.36731917,-0.000222719785481,-3.65224120037181
-0.36833764,-0.000228362860193,-3.64137452619226
-0.36932094,-0.000233588944845,-3.63154771509811
-0.37032241,-0.000239557483371,-3.62059025796727
-0.37130792,-0.00024446751129,-3.61177884862587
-0.37232674,-0.000250818972545,-3.60063961552921
-0.3733303,-0.000256139224395,-3.59152390988001
-0.37433178,-0.000262495253511,-3.5808785451822
-0.37532658,-0.00026782044482,-3.57215627297837
-0.37631322,-0.000274183097916,-3.56195932091015
-0.37732334,-0.0002799996357,-3.55284253370672
-0.37831039,-0.000286469404551,-3.54292175465343
-0.37932021,-0.00029211056329,-3.53445273780304
-0.38029487,-0.000299083017917,-3.52420824572661
-0.38132269,-0.000304541469586,-3.51635356087628
-0.38231433,-0.000311843241634,-3.50606366367923
-0.38330007,-0.000317680146442,-3.49800992574648
-0.3843099,-0.000325032659599,-3.48807299849451
-0.3852957,-0.00033081981933,-3.48040847987039
-0.38630719,-0.000338272217627,-3.47073366945088
-0.38730151,-0.000344074722621,-3.46334723156242
-0.38829363,-0.000351549640367,-3.45401334200899
-0.38930429,-0.000357969847784,-3.44615355294449
-0.39030141,-0.000365775216681,-3.43678572374533
-0.39131845,-0.00037173725568,-3.42976391152848
-0.39230908,-0.000379774105563,-3.42047465043269
-0.39331914,-0.000385706860986,-3.41374263579855
-0.39430494,-0.000393982512807,-3.40452305421451
-0.39532007,-0.00040020592559,-3.39771648533512
-0.39632476,-0.000408142821449,-3.38918783761205
-0.39730997,-0.000414460689036,-3.38251665532892
-0.39831049,-0.000422548424384,-3.37412351337117
-0.39932079,-0.000429529385227,-3.36700711959638
-0.40032036,-0.000437899476745,-3.35862557375482
-0.40132726,-0.000443880480197,-3.35273395281027
-0.4023009,-0.000452349880917,-3.34452551967691
-0.40329421,-0.00045861315403,-3.33855349291027
-0.40429557,-0.000467363204876,-3.3303454822483
-0.40529621,-0.000474291305644,-3.32395483643901
-0.40629262,-0.000482441792472,-3.31655507762246
-0.40729881,-0.000489009667671,-3.31068255483427
-0.40830374,-0.000497509106373,-3.30319896554889
-0.40929908,-0.000504685921388,-3.29697881008499
-0.41029222,-0.000513175114851,-3.28973441181542
-0.41129858,-0.000519349381052,-3.28454038162474
-0.41229261,-0.000528104081405,-3.27728047609262
-0.41331024,-0.000534552992011,-3.2720092352686
-0.41431732,-0.000542900222664,-3.26527998022356
-0.41531623,-0.000550025997338,-3.25961678280792
-0.41630466,-0.000558553576193,-3.25293516323014
-0.41730023,-0.000565765150098,-3.24736380764984
-0.4183125,-0.000573898791232,-3.24116468998001
-0.41931272,-0.000580749710953,-3.23601099768207
-0.42031688,-0.000588825741783,-3.23001321213889
-0.4213115,-0.000595371170176,-3.22521219914251
-0.42230446,-0.000604719360118,-3.21844612721408
-0.42331112,-0.00061101990338,-3.21394464280602
-0.42428941,-0.000619422753652,-3.20801284546942
-0.42530072,-0.000625843478091,-3.20353426918757
-0.42630393,-0.000633925313889,-3.19796190564599
-0.42730189,-0.000640619992658,-3.19339951187024
-0.42830522,-0.00064875059906,-3.18792222811344
-0.42930365,-0.000654981598672,-3.18377090108836
-0.4303242,-0.000663997101494,-3.17783381642702
-0.43130023,-0.00066959281114,-3.17418921764792
-0.43230654,-0.000679187467391,-3.16801033644676
-0.43330503,-0.000684968951331,-3.16432911401321
-0.43429709,-0.000693887114318,-3.15871117740754
-0.43530638,-0.000700051688348,-3.1548698926494
-0.43630619,-0.000707753107228,-3.15011821528838
-0.43731225,-0.000714573696946,-3.14595297397411
-0.43830145,-0.000722688597041,-3.14104879775386
-0.43930776,-0.000728941889135,-3.13730709203046
-0.44030596,-0.000736893740517,-3.13259513254006
-0.44129855,-0.000742242255145,-3.12945432531224
-0.44229401,-0.000750670578745,-3.12455060523289
-0.44330347,-0.000756755565673,-3.12104437627559
-0.444304,-0.000764972402128,-3.11635423258469
-0.44529022,-0.000770068625885,-3.1134705702624
-0.44632594,-0.000777192473067,-3.10947141409575
-0.44731221,-0.000783673601501,-3.10586478244677
-0.448299,-0.000790179066636,-3.10227447979874
-0.44929747,-0.000796320112077,-3.09891231547576
-0.450308,-0.000803448269075,-3.09504208054176
-0.4512972,-0.000808484438393,-3.09232833492289
-0.45229513,-0.000817040312207,-3.08775651514773
-0.45328573,-0.000821691246634,-3.08529133948211
-0.45430631,-0.000829612183212,-3.08112487877072
-0.45529494,-0.00083473478368,-3.07845148892396
-0.45630834,-0.000841828275886,-3.07477649097223
-0.45728791,-0.000847149765602,-3.07203980498831
-0.45828096,-0.000853507649705,-3.06879258209472
-0.4592788,-0.00085862254103,-3.0661977143698
-0.46030528,-0.000865162347064,-3.06290238985497
-0.46128205,-0.00086927023392,-3.06084519149582
-0.46230126,-0.000876836808191,-3.05708122749692
-0.46329579,-0.000881735295333,-3.05466177431302
-0.46431271,-0.000888325008253,-3.05142811139829
-0.46530876,-0.000893271527357,-3.04901650873928
-0.46632934,-0.000899945924679,-3.04578358535943
-0.4672888,-0.000905053334104,-3.04332582739763
-0.46825931,-0.00091081800505,-3.04056839283903
-0.46929384,-0.00091618347844,-3.03801754413259
-0.47031078,-0.000922548189621,-3.03501093905509
-0.47130213,-0.000926052294672,-3.03336448778242
-0.47228689,-0.000932936849693,-3.03014775256418
-0.4732959,-0.000937206950867,-3.02816449908513
-0.47429732,-0.000942668376697,-3.02564106176992
