Overpotential / V,<I>/A,Tafel
-0.06603434,-0.010894229888916,-1.96280346452881
-0.06582251,-0.010827205181122,-1.96548363303845
-0.06538292,-0.011171599071473,-1.95188465873646
-0.06440791,-0.010727338496182,-1.9695080152008
-0.06338384,-0.010587461383806,-1.975208160683
-0.06233284,-0.010121141356727,-1.99477050953396
-0.0613822,-0.00994368331631,-2.00245271543731
-0.06043958,-0.009559424700009,-2.01956824340693
-0.05945259,-0.009597307011485,-2.01785061218162
-0.05837056,-0.009154819644988,-2.0383502071196
-0.05736693,-0.00899324617121,-2.04608351852531
-0.05639189,-0.008572099611163,-2.06691279092849
-0.05538493,-0.008223919097748,-2.08492117067059
-0.05440053,-0.007936474943327,-2.10037235054465
-0.0533792,-0.00768782227238,-2.11419666527405
-0.0523929,-0.0075857199476,-2.12000319478076
-0.05137047,-0.007243733305898,-2.14003754757788
-0.05038952,-0.007042950720423,-2.15224535035867
-0.04941782,-0.00669121936957,-2.17449473167606
-0.04838183,-0.006494375738833,-2.18746258842621
-0.04736763,-0.006106099317057,-2.21423613608401
-0.04637482,-0.006077827526463,-2.21625162827187
-0.04540062,-0.005729978246407,-2.24184702680803
-0.04438948,-0.005557755340305,-2.2551005753518
-0.04335758,-0.005213612856964,-2.2828612210247
-0.0423786,-0.005002079002145,-2.30084945336426
-0.04139772,-0.004766283813864,-2.32182010065403
-0.04037174,-0.004618877018905,-2.33546360101863
-0.039404,-0.004413441736251,-2.35522260234767
-0.03839552,-0.004122867128501,-2.38480066138796
-0.03736955,-0.003929195554927,-2.40569635593947
-0.03635832,-0.003645573254261,-2.43823417061432
-0.03534853,-0.003553329059233,-2.44936457241725
-0.03437036,-0.003339794587965,-2.47628024338506
-0.03335911,-0.003204863806566,-2.49419042146928
-0.03232431,-0.00293005592169,-2.53312409082344
-0.03133472,-0.00278603007334,-2.55501419996697
-0.03034284,-0.00254747866715,-2.59388944413326
-0.02934947,-0.002461250864176,-2.60884411836752
-0.02838671,-0.002281476742691,-2.64178395405426
-0.02734464,-0.00212518528435,-2.67260319998415
-0.02636394,-0.001955086031101,-2.70883412726541
-0.02537074,-0.001803174583552,-2.74396222280474
-0.02437588,-0.001679390625718,-2.77484827535552
-0.02336162,-0.001554693235291,-2.80835529111503
-0.02236423,-0.001454564220686,-2.83726709939196
-0.02135324,-0.001320447636561,-2.87927881642101
-0.02037802,-0.001223452660359,-2.91241283035206
-0.01937091,-0.001090969240086,-2.96218749418642
-0.0183751,-0.001006348381647,-2.99725164747599
-0.01738119,-0.00090801245952,-3.04190819215759
-0.01638209,-0.00084178466086,-3.0747989923023
-0.01536554,-0.000739912527976,-3.13081961927302
-0.01435434,-0.000672596048512,-3.17224568848508
-0.01336902,-0.000580934880664,-3.23587254670347
-0.01238122,-0.000515416278038,-3.28784186954429
-0.01136657,-0.000454895918827,-3.34208795949672
-0.0103811,-0.000391344714056,-3.4074405278765
-0.00936606,-0.000329361613426,-3.48232701855044
-0.00836476,-0.000277438830222,-3.5568327553355
-0.00737929,-0.000222888176187,-3.65191296944204
-0.00638312,-0.000170944999192,-3.76714359948909
-0.00536388,-0.00013048637421,-3.88443483632851
-0.00435573,-8.66E-05,-4.062261501654
-0.00334823,-4.69E-05,-4.32836886010353
-0.00235229,-9.61E-06,-5.017309325726
-0.0013535,2.47E-05,-4.60787785586558
-0.00035995,5.61E-05,-4.25069630229025
