Overpotential / V,<I>/A,Tafel
-1.20575795,-0.000569548249245,-3.24446947879625
-1.20525665,-0.000572631221442,-3.2421249767295
-1.20435832,-0.000571803995167,-3.24275281457304
-1.20336781,-0.000573140922244,-3.24173858182275
-1.20234365,-0.000571380910912,-3.2430742729208
-1.20135827,-0.000570979588907,-3.24337941641914
-1.20035467,-0.000569605814845,-3.24442558583508
-1.19936234,-0.000573288035751,-3.24162712164993
-1.1983488,-0.000575733665446,-3.2397783748702
-1.19735271,-0.00057771314246,-3.23828775253344
-1.19634999,-0.000575859247465,-3.23968365463062
-1.19535855,-0.000577173572448,-3.23869356254554
-1.19435035,-0.000577733915092,-3.23827213703697
-1.19335363,-0.000579243880593,-3.23713854560649
-1.19236108,-0.000577094189478,-3.2387532984005
-1.19136342,-0.000580684537482,-3.23605973824372
-1.19037933,-0.000580896441376,-3.23590128404255
-1.18935583,-0.000582090537857,-3.23500946030941
-1.18836465,-0.000581029890588,-3.2358015251251
-1.18736922,-0.000584579172165,-3.23315666207994
-1.18634663,-0.000583793242841,-3.23374093609291
-1.18536211,-0.0005868846325,-3.23144726228395
-1.18436011,-0.000584830292673,-3.23297014015415
-1.18335073,-0.000588889237631,-3.22996638264768
-1.18235675,-0.000588777561638,-3.23004874935446
-1.18134861,-0.000592786869034,-3.22710142508467
-1.18034027,-0.000593773774044,-3.22637898834923
-1.17935271,-0.000598931853142,-3.22262258910988
-1.17836241,-0.000599592558971,-3.22214376544694
-1.17736382,-0.00060238683003,-3.2201245316745
-1.17636459,-0.00060235499839,-3.22014748149692
-1.17535747,-0.000605726177149,-3.21772365739891
-1.17438316,-0.000606629114874,-3.21707674976938
-1.17337801,-0.000609185794989,-3.21525023210832
-1.17235633,-0.000609358132713,-3.21512738824295
-1.171356,-0.000613780218556,-3.21198711249987
-1.17037412,-0.00061647476725,-3.21008469468599
-1.16937461,-0.000618856432537,-3.20841009054143
-1.16837468,-0.000620387777134,-3.20733676723408
-1.16736183,-0.000623697807736,-3.20502578246747
-1.16635991,-0.00062547868711,-3.20378748409737
-1.16536311,-0.000628658311097,-3.201585338538
-1.16437771,-0.000627649027578,-3.20228313969461
-1.16337737,-0.00063080783554,-3.20010292074812
-1.16238975,-0.000633419914861,-3.19830828643574
-1.16137188,-0.000636141666453,-3.19644615776754
-1.16037346,-0.000636437017678,-3.19624456801736
-1.15938955,-0.000639987184356,-3.19382872260884
-1.1583633,-0.000640227742562,-3.19366551079075
-1.15737494,-0.000642547947734,-3.19209445918833
-1.15636521,-0.000642091021701,-3.19240340274065
-1.15538318,-0.000646372395878,-3.18951719891328
-1.15436961,-0.000647381081211,-3.18883999638474
-1.15337727,-0.000650755745324,-3.18658198894809
-1.15235478,-0.000649826427784,-3.18720263031447
-1.15136883,-0.000654277818691,-3.18423780289164
-1.15035642,-0.000654199471559,-3.18428981101966
-1.14936442,-0.00065687788471,-3.18251535939875
-1.14835577,-0.000656246315136,-3.18293312216975
-1.14734607,-0.000659503263732,-3.18078305088759
-1.14635242,-0.000661301715713,-3.17960035053978
-1.14533972,-0.000662951570211,-3.17851819641916
-1.14435721,-0.000663197408189,-3.17835717970068
-1.14334873,-0.000667439936281,-3.17558781088549
-1.14235758,-0.000667839011039,-3.17532821573339
-1.1413647,-0.00066759615288,-3.17548617467066
-1.14037258,-0.000668843138549,-3.17467572386206
-1.13934351,-0.00066753707764,-3.17552460686607
-1.1383722,-0.000669065419447,-3.17453141599061
-1.13735536,-0.000670020883075,-3.17391166108585
-1.13635164,-0.000670332674075,-3.17370961124232
-1.13535499,-0.0006711129462,-3.17320438328316
-1.13437759,-0.00067379216974,-3.17147404033999
-1.13335627,-0.00067393334479,-3.17138305512868
-1.13236012,-0.000672853645006,-3.17207939057304
-1.13137198,-0.000673397599754,-3.17172843593645
-1.13035176,-0.000677276029424,-3.16923429494305
-1.12936103,-0.000679246955517,-3.16797229947651
-1.12836962,-0.00067859374718,-3.16839014642655
-1.12734931,-0.000681802205603,-3.16634159817922
-1.126343,-0.000685038621296,-3.16428494304351
-1.12534744,-0.000691559074378,-3.16017071565534
-1.1243562,-0.000690947881658,-3.16055471031299
-1.12336291,-0.000687999441737,-3.16241191416378
-1.12236731,-0.000686889843118,-3.16311290538836
-1.12135749,-0.000683729000803,-3.16511599883067
-1.12034485,-0.000680204030609,-3.16736079894525
-1.11935275,-0.000679524144089,-3.16779510779353
-1.11836188,-0.000684083505154,-3.16489088130016
-1.11734525,-0.000684453662071,-3.16465594853523
-1.11635963,-0.000686311839355,-3.1634785091636
-1.11535723,-0.000687058212305,-3.16300646496139
-1.11436986,-0.000686876598746,-3.16312127938537
-1.11337482,-0.000682210249274,-3.16608176019997
-1.1123523,-0.00068445229006,-3.16465681909414
-1.11135902,-0.000682065850262,-3.1661736942222
-1.11037088,-0.000686816873926,-3.16315904350122
-1.10933996,-0.000685285339408,-3.16412855912432
-1.10835954,-0.000688938924146,-3.16181927748586
-1.10734793,-0.000687253494023,-3.16288304350939
-1.10634323,-0.000689806461817,-3.16127274166132
-1.10535748,-0.000688025281523,-3.162395603299
-1.10435472,-0.000689556757402,-3.16142998124729
-1.10335999,-0.000685516178539,-3.16398229117749
-1.10235507,-0.000688080183472,-3.16236094954029
-1.10134142,-0.000689038792487,-3.16175632687492
-1.10032273,-0.000689176131385,-3.1616697721227
-1.09933796,-0.000686923322923,-3.16309173788926
-1.0983393,-0.000690891630051,-3.16059006863437
-1.09732947,-0.000689869145552,-3.16123327847133
-1.09634838,-0.000690480008583,-3.16084889099934
-1.09533919,-0.000685720334588,-3.16385297162463
-1.0943523,-0.000687637789037,-3.16264026473766
-1.09335355,-0.000689747399961,-3.16130992794155
-1.09234454,-0.000693284681619,-3.15908839559228
-1.09133065,-0.000688770538817,-3.16192543748778
