,R2 threshold,Overpotential Fit Width / V,Tafel slope / mV Decade-1,Exchange Current / A,Optimal Residual,Starting Fit Potential / V,Tafel R2,LSV R2,Ending Fit Potential
0,0.9,0.01,13.379586345528399,4.394074368307124e-06,0.0033386169143680374,0.0028484,0.9688432182344582,0.9787760118647355,0.0128484
1,0.9,0.011,11.0806767893636,3.123947489125026e-06,0.003270754092909272,0.0019883,0.9027296286690589,0.9780942741383083,0.0129883
2,0.9,0.011999999999999999,11.58118355955447,3.293376818872997e-06,0.003330597836667498,0.0019883,0.9033327906771372,0.9808069213152326,0.013988299999999999
3,0.9,0.012999999999999998,15.022082581895585,5.012110393756075e-06,0.0034189981506227464,0.0028484,0.955492053297844,0.9797517170062728,0.0158484
4,0.9,0.013999999999999997,15.87406390865404,5.341693519598116e-06,0.0036228176760949335,0.0028484,0.9551778894357867,0.9782165256530232,0.016848399999999996
5,0.9,0.014999999999999996,16.356203748576533,5.529657900997321e-06,0.0036560041641895066,0.0028484,0.9527475617787137,0.9806548133259199,0.017848399999999997
6,0.9,0.015999999999999993,14.118219976357066,4.179285951882097e-06,0.003611415114043655,0.0019883,0.9001297280098411,0.9790893910213299,0.017988299999999992
7,0.9,0.016999999999999994,17.09798512138215,5.825328144391394e-06,0.00386889284907065,0.0028484,0.953471132385366,0.9768541712556255,0.019848399999999995
8,0.9,0.017999999999999995,15.39488121263942,4.643645122647045e-06,0.0038505014629285766,0.0019883,0.90277246212732,0.9770850480920056,0.019988299999999994
9,0.9,0.018999999999999993,15.838102786979512,4.8099926400806275e-06,0.003922312765742149,0.0019883,0.9027495332693056,0.9776117064185194,0.020988299999999994
10,0.9,0.01999999999999999,16.250360371285915,4.966996434610908e-06,0.0040254596896842285,0.0019883,0.9037347211907613,0.9757850735249907,0.02198829999999999
11,0.9,0.02099999999999999,16.648273587542544,5.119814578933892e-06,0.004120100045915413,0.0019883,0.9046099131447423,0.9747210502853193,0.02298829999999999
12,0.9,0.021999999999999992,17.01426519679762,5.262088661929396e-06,0.004238490419082089,0.0019883,0.906123137623889,0.9716825084974192,0.02398829999999999
13,0.9,0.02299999999999999,17.708510783010055,5.5376457497310834e-06,0.004494807101972966,0.0019883,0.9094389429033206,0.964666517980632,0.02498829999999999
14,0.9,0.023999999999999987,18.074003490542047,5.686021276478326e-06,0.004603649312200827,0.0019883,0.9102238376043852,0.9639254928141149,0.025988299999999985
15,0.9,0.024999999999999988,18.387918597096412,5.815171180306475e-06,0.004755297059695356,0.0019883,0.9121639517273534,0.9593801233906969,0.026988299999999986
