Overpotential / V,<I>/A,Tafel
-0.06590476,-0.011029139041901,-1.95745838818949
-0.06583085,-0.010890215396881,-1.9629635302762
-0.06524273,-0.01052815591637,-1.97764769201299
-0.064336,-0.009413704149425,-2.02623945466881
-0.06344321,-0.010005607657962,-1.99975653076728
-0.06233781,-0.009923938987156,-2.00331591445455
-0.06139823,-0.009030238074561,-2.04430079973022
-0.06029322,-0.00878971763038,-2.05602507640947
-0.05930057,-0.009302171823879,-2.03141564273534
-0.05838725,-0.008686470384399,-2.06115665668947
-0.05732476,-0.007731008118225,-2.11176387068252
-0.05634984,-0.008480823134383,-2.07156199380799
-0.05536532,-0.008027418048845,-2.09542411941028
-0.05428424,-0.007023781925026,-2.15342898090436
-0.05333113,-0.007426085003134,-2.12924008390317
-0.05236676,-0.007302389202019,-2.13653502378502
-0.05134707,-0.006609618703524,-2.17982359342385
-0.05032631,-0.006323866450952,-2.19901731018622
-0.04930097,-0.00651897656752,-2.18582058002977
-0.0482997,-0.006039611217462,-2.2189910169327
-0.0473006,-0.005297620722817,-2.27591913774961
-0.04632455,-0.005749611964656,-2.24036146440517
-0.04533344,-0.005365236164381,-2.27041115671198
-0.0442698,-0.004613446254283,-2.33597453446629
-0.04336607,-0.004844792348643,-2.31472483239465
-0.04232663,-0.004688204733448,-2.32899343097776
-0.04130157,-0.004126793391796,-2.38438727356242
-0.04032874,-0.003934589432966,-2.40510057875595
-0.03932935,-0.004009838775421,-2.39687308881437
-0.03831505,-0.003662142838455,-2.43626472045405
-0.03733548,-0.003165574702124,-2.49954743341803
-0.03628021,-0.00334431577329,-2.47569272282308
-0.03530255,-0.003116919022674,-2.50627448051511
-0.03429165,-0.002638244926309,-2.57868488839291
-0.03331315,-0.002738970302252,-2.56241267663172
-0.0322631,-0.002617783859165,-2.5820662144113
-0.03129279,-0.002272895135192,-2.64342060090409
-0.03031778,-0.002140652112663,-2.66945390618852
-0.02930748,-0.002152239651937,-2.66710937161215
-0.02828577,-0.001961996262169,-2.70730182433683
-0.02732405,-0.001663246615997,-2.77904335148655
-0.02633026,-0.001736843018068,-2.76023943282962
-0.02531936,-0.00161024323706,-2.79310851618304
-0.02431625,-0.001351487037208,-2.869188115482
-0.02331954,-0.001342514540793,-2.87208100175352
-0.0223172,-0.001271814196888,-2.89557633142374
-0.02132454,-0.001114583739804,-2.9528872969742
-0.02031761,-0.001014235506145,-2.99386118983155
-0.01930961,-0.000982809914069,-3.00753047123575
-0.01832893,-0.000897550930321,-3.04694089859396
-0.01731559,-0.000742304102104,-3.12941813945257
-0.01632216,-0.000737526276511,-3.1322225020746
-0.01531651,-0.000670980490692,-3.17329010711539
-0.01432836,-0.000560520516812,-3.25140848623555
-0.01333561,-0.000527467910459,-3.27780395637998
-0.01234337,-0.000474709770151,-3.32357182983869
-0.01130661,-0.000410835771175,-3.38633174972072
-0.01033333,-0.000349120947558,-3.45702409236023
-0.00931978,-0.000315024810921,-3.50165524042738
-0.00831753,-0.00027289547766,-3.56400366126452
-0.00732088,-0.000214018639293,-3.66954840146482
-0.00633004,-0.000184767523185,-3.73337436288246
-0.00530287,-0.000145329581121,-3.83764597820016
-0.0043073,-0.000106993505983,-3.97064258120393
-0.00331226,-7.63E-05,-4.11746301348833
-0.00231424,-4.59E-05,-4.33859807513491
-0.00130728,-1.80E-05,-4.74462075574156
-0.00032225,9.16E-06,-5.03789921720801
