Overpotential / V,<I>/A,Tafel
-1.15132944,-0.00095250067239,-3.02113470907471
-1.15033365,-0.000954639064631,-3.0201607979118
-1.14934885,-0.000956796589963,-3.01918038118483
-1.14831883,-0.000961605220343,-3.01700318764572
-1.14731581,-0.000963599856529,-3.01610327333609
-1.14634097,-0.000965356975104,-3.01531206111223
-1.14531552,-0.000968744535827,-3.01379073410306
-1.14431537,-0.000966809723802,-3.01465899027473
-1.1433097,-0.000970620181549,-3.01295068289045
-1.14231064,-0.000976775210903,-3.01020537066924
-1.14133622,-0.000976763524667,-3.01021056664265
-1.14030316,-0.000984447751056,-3.00680732882003
-1.13932625,-0.000982319847301,-3.00774708115295
-1.13831805,-0.000982287387881,-3.00776143205914
-1.13734632,-0.000985451363303,-3.00636480534735
-1.13632005,-0.000985452296281,-3.00636439417828
-1.13533042,-0.000991216241761,-3.00383159035919
-1.13429553,-0.000990708624599,-3.00405405624686
-1.13332514,-0.000994199791026,-3.00252633248259
-1.13232193,-0.000994728759621,-3.00229532554459
-1.13129666,-0.000994983341269,-3.00218419046588
-1.13034224,-0.000999259494107,-3.0003217167544
-1.12932072,-0.000997535686388,-3.00107155867461
-1.1283207,-0.001000853572041,-2.99962945649307
-1.12731577,-0.0009999863326,-3.00000593571707
-1.12632211,-0.001003205281579,-2.99861019007546
-1.12531172,-0.001007045425751,-2.99695093887254
-1.12430719,-0.001002673468932,-2.99884047648065
-1.12332392,-0.001009372126449,-2.99594869236686
-1.12229881,-0.001009504754924,-2.99589163112109
-1.12129923,-0.001007725922322,-2.99665756968464
-1.12031462,-0.001011331570093,-2.99510643545362
-1.11933086,-0.001011295797786,-2.99512179736932
-1.11829434,-0.001011234414246,-2.99514815893613
-1.11730935,-0.001012039641677,-2.99480247581194
-1.11632273,-0.001010538244965,-2.99544724547089
-1.11531151,-0.001013599987797,-2.99413340335313
-1.11430228,-0.00101095095332,-2.99526991386407
-1.11331844,-0.001015122410186,-2.9934815844869
-1.11233077,-0.001013031990716,-2.99437683976119
-1.1113035,-0.001013567225111,-2.99414744132083
-1.11034677,-0.001015938246002,-2.99313268992193
-1.10931947,-0.00101281353376,-2.99447050401124
-1.10832507,-0.001021217231949,-2.99088186555081
-1.10731653,-0.001018904217829,-2.99186663996151
-1.10631899,-0.001017467763275,-2.9924793417623
-1.10531973,-0.001023186918624,-2.99004502091967
-1.10431451,-0.001016725457653,-2.99279630206533
-1.10331204,-0.001020789502809,-2.99106380462543
-1.10232774,-0.001020114173216,-2.9913512184119
-1.10131901,-0.001018976171949,-2.99183597154989
-1.10032337,-0.001025091430241,-2.98923739716587
-1.09931121,-0.001021528276166,-2.99074960748176
-1.09831833,-0.001022211794914,-2.99045911219268
-1.09731225,-0.001021549568408,-2.99074055535184
-1.0963318,-0.001022798534897,-2.99020990274852
-1.09532627,-0.001024504105388,-2.9894862969565
-1.09431689,-0.001022045596744,-2.99052972849421
-1.09333523,-0.001026646614903,-2.98857902048112
-1.09231967,-0.001021669547591,-2.99068955123121
-1.09134542,-0.001023194432259,-2.99004183174866
-1.09032618,-0.001025752186913,-2.9889575484402
-1.08932818,-0.00101923943173,-2.99172378295663
-1.08831923,-0.001024363320183,-2.98954598089413
-1.08732264,-0.001024649279675,-2.98942476091697
-1.08632454,-0.001020381088886,-2.99123759893383
-1.08531564,-0.001024021139713,-2.9896910777683
-1.08432763,-0.001022983111855,-2.99013153587601
-1.08331659,-0.00102353671883,-2.98989657264078
-1.08229978,-0.001025174878952,-2.98920204437852
-1.08133642,-0.001024389263242,-2.98953498207688
-1.0803372,-0.001025650046076,-2.98900079612835
-1.07930904,-0.001022255451867,-2.99044056459912
-1.07831023,-0.001026224846917,-2.98875747443177
-1.07730741,-0.001022597401092,-2.99029531535742
-1.07632404,-0.001022785813582,-2.99021530442915
-1.0753263,-0.00102473935954,-2.98938658251823
-1.07431633,-0.00102014600458,-2.99133766701701
-1.07332114,-0.001023670074702,-2.98983999240686
-1.07231127,-0.001023694554275,-2.98982960701378
-1.07131328,-0.001022390255084,-2.99038329864535
-1.07030905,-0.001024226514968,-2.98960398542896
-1.06932075,-0.00102118590212,-2.99089518943559
-1.06831183,-0.001028331969485,-2.98786666234271
-1.06730589,-0.001024847853101,-2.98934060432847
-1.06630344,-0.001025738126564,-2.98896350150964
-1.06529926,-0.001027382484189,-2.98826784282134
-1.06432192,-0.00102502621255,-2.98926502844217
-1.06329975,-0.001026758220875,-2.98853181122456
-1.06230395,-0.001025234857505,-2.98917663642773
-1.06131037,-0.001025824346338,-2.98892699784694
-1.06031615,-0.001026693426624,-2.98855921852711
-1.05930675,-0.001024153510729,-2.98963494192858
-1.05833993,-0.00102954043103,-2.98735659355435
-1.05732218,-0.001025527378199,-2.98905274091028
-1.0563279,-0.001027848629764,-2.98807083874418
-1.05531345,-0.00102750552832,-2.98821583279758
-1.05433208,-0.001022478327845,-2.99034588840334
-1.05332217,-0.001027517226283,-2.98821088846209
-1.05231069,-0.001026203390901,-2.98876655463187
-1.05133933,-0.00102428546065,-2.98957899188743
-1.05032357,-0.001028273861027,-2.98789120392692
-1.04931237,-0.001025133618464,-2.98921952389643
-1.04832401,-0.001026458364946,-2.98865866172541
-1.04731847,-0.001025428420002,-2.98909465015008
-1.04631714,-0.001025583125513,-2.98902913345408
-1.04528931,-0.001024991505676,-2.98927973368471
-1.044328429,-0.001024733693097,-2.98938898401818
-1.043288625,-0.001027729528232,-2.98812116535231
-1.042316608,-0.001024268657797,-2.98958611631361
-1.041330181,-0.001025110723796,-2.9892292232556
-1.040314622,-0.001026496730607,-2.98864242951956
-1.039295301,-0.001024073205198,-2.98966899699559
-1.038312748,-0.001027626984649,-2.98816450003591
-1.037315629,-0.001023834135935,-2.98977039461272
-1.036304272,-0.001025902863178,-2.98889375811592
-1.035311289,-0.001027913092463,-2.98804360232443
-1.034314267,-0.001024594059145,-2.98944816660141
-1.033323258,-0.001030203321466,-2.98707705424973
-1.032314256,-0.001025983210239,-2.98885974620291
-1.031324729,-0.00102466258586,-2.98941912116751
-1.030327685,-0.001028382149422,-2.98784547041407
-1.029318899,-0.001026733655345,-2.98854220198798
-1.028311692,-0.001027488196752,-2.98822315837169
-1.027323343,-0.001027980702343,-2.98801503801068
-1.026304438,-0.001029264362598,-2.98747306404047
-1.025313057,-0.001028163215904,-2.98793793773366
-1.024304874,-0.001026890361061,-2.98847592264241
-1.023324817,-0.001029653910548,-2.98730872674823
-1.0223222,-0.00102418157141,-2.98962304290027
-1.02132713,-0.001027186664028,-2.98835062768694
-1.020308874,-0.001031544444186,-2.98651205567067
-1.019294195,-0.001025512480211,-2.98905905001624
-1.018320545,-0.001030922183146,-2.98677411522639
-1.017307713,-0.001028596198807,-2.9877550849538
-1.016312793,-0.00102603422878,-2.98883815080104
-1.015307814,-0.001030198853325,-2.98707893785179
-1.014309652,-0.001028316859018,-2.98787304397918
-1.013310507,-0.001030438275525,-2.98697801786032
-1.012340799,-0.001027858881211,-2.98806650724581
-1.011318713,-0.001030730642102,-2.98685481282742
-1.010322205,-0.001029362302274,-2.98743174070444
-1.009314157,-0.001028062458254,-2.98798049968813
-1.008299827,-0.001033125547347,-2.98584689899632
-1.007323004,-0.001029691711896,-2.98729278292911
-1.006325077,-0.001029911295959,-2.98720017853207
-1.005309369,-0.001032332654904,-2.98618033477265
-1.004287015,-0.001027615160302,-2.98816949725614
-1.003314443,-0.001031332012956,-2.98660150136767
-1.002335399,-0.001029871611132,-2.9872169132099
-1.001297138,-0.001031237865626,-2.98664114867019
-1.000322651,-0.001030590549525,-2.98691384431996
-0.999308325,-0.001030130478795,-2.98710776303099
-0.998308852,-0.001037689478033,-2.98393258690414
-0.997305888,-0.001031895645377,-2.98636422027527
-0.996318321,-0.001031235491788,-2.986642148387
-0.995323006,-0.001032592659471,-2.98607096660477
-0.994310025,-0.001028481716773,-2.98780342431458
-0.993320942,-0.001031307915433,-2.98661164896659
-0.992317367,-0.001031605332814,-2.98648642147239
-0.991312653,-0.001034417161373,-2.98530428295771
-0.990325823,-0.001034583489652,-2.98523445653802
-0.989324629,-0.001030342328742,-2.98701845802991
-0.988314043,-0.001033222299207,-2.98580622936854
-0.987305898,-0.001027998055159,-2.98800770696967
-0.986311208,-0.001029778841331,-2.98725603578279
-0.985291976,-0.001031974106475,-2.98633119956543
-0.984288335,-0.001028504026433,-2.98779400377077
-0.983327165,-0.001034242779154,-2.98537750256619
-0.982319496,-0.001033273141693,-2.98578485926464
-0.981320649,-0.001032225367234,-2.98622547222378
-0.980324696,-0.001035444719096,-2.98487308250923
-0.979326397,-0.001032807923853,-2.98598043875809
-0.978320043,-0.001034015325898,-2.98547302419781
-0.97733283,-0.001032876945894,-2.9859514160433
-0.976318922,-0.001034839283951,-2.9851270932148
-0.975312998,-0.001035036118632,-2.98504449479747
-0.974315939,-0.00103398040006,-2.98548769356939
-0.973305836,-0.001034212559324,-2.98539019252428
-0.972331389,-0.001030307499071,-2.98703313915967
-0.971330421,-0.001032021544874,-2.98631123611762
-0.970316358,-0.00103539934368,-2.98489211464492
-0.969322297,-0.001031087011927,-2.9867046836931
-0.968313362,-0.001033722676889,-2.9855959564559
-0.967309981,-0.00103139008968,-2.98657704591565
-0.966289408,-0.001031855796636,-2.9863809917602
-0.965303259,-0.001033622778676,-2.98563792838889
-0.96431599,-0.001032055016055,-2.98629715103021
-0.963317826,-0.001035763014384,-2.98473960107616
-0.962301265,-0.001034245826304,-2.98537622302304
-0.961319074,-0.001033484903475,-2.98569586290273
-0.960307342,-0.001034194690348,-2.98539769626668
-0.959306286,-0.001030083300891,-2.9871276533003
-0.958299963,-0.001029720575445,-2.98728060928108
-0.957309616,-0.001031032799019,-2.9867275188035
-0.956324515,-0.001032466207803,-2.98612415371967
-0.955315415,-0.001035159309705,-2.9849928076934
-0.9543147829,-0.001032773596407,-2.9859948736476
-0.9533246334,-0.001034118171643,-2.9854298303328
-0.9523259561,-0.001029979826951,-2.98717128124576
-0.951331976,-0.001030667037738,-2.98688161311436
-0.9503188079,-0.001035041416271,-2.9850422719481
-0.9493097925,-0.001031757718573,-2.9864222734841
-0.9483165393,-0.001034388621096,-2.98531626560474
-0.9473040071,-0.001033666408862,-2.98561959679874
-0.9463245683,-0.001031229867427,-2.98664451703646
-0.9452951975,-0.001034534662272,-2.98525495363884
-0.94431930547,-0.00103184880882,-2.98638393284997
-0.943308609,-0.001031717749933,-2.98643909768182
-0.9423200373,-0.001031572223124,-2.986500360511
-0.9413198723,-0.001030336501836,-2.98702091410705
-0.9403274415,-0.001034656550183,-2.98520378848116
-0.9393354689,-0.00103237924849,-2.98616073364859
-0.938318168,-0.001031762725639,-2.98642016588087
-0.9373120802,-0.001029137483488,-2.98752660353537
-0.936301938,-0.001027752303415,-2.98811154119879
-0.9353340237,-0.001031271925541,-2.98662680494845
-0.934320934,-0.001029636844165,-2.98731592518373
-0.933318305,-0.001030691627413,-2.98687125183125
-0.932347347,-0.001032367611235,-2.98616562915974
-0.931333983,-0.001029322307419,-2.98744861511501
-0.930324877,-0.001031341209594,-2.9865976286756
-0.929315092,-0.001028573751174,-2.98776456291003
-0.928326213,-0.001029430138844,-2.98740312096826
-0.927299503,-0.001030874855264,-2.98679405340405
-0.926323263,-0.001029097239176,-2.98754358690665
-0.92529248,-0.001031749844689,-2.98642558782558
-0.924320111,-0.001029310665197,-2.98745352726095
-0.923308618,-0.001029647088299,-2.98731160429241
-0.922313772,-0.001030305740182,-2.98703388056591
-0.921302065,-0.001028797237823,-2.98767021043819
-0.920326424,-0.001030325860475,-2.98702539954273
-0.919314775,-0.001028616749578,-2.98774640808211
-0.918324915,-0.001028586847639,-2.98775903322753
-0.917317766,-0.001030219899008,-2.98707006584573
-0.916300086,-0.001027709838693,-2.98812948577106
-0.915310956,-0.00103001024574,-2.98715845524979
-0.914317883,-0.001027317645511,-2.98829525225157
