Sept. 9, 2026   16:26:14
Open Circuit Potential - Time
File: ni_foil_ocv 30 min
Data Source:  Experiment
Instrument Model:  CHI660D
Header: 
Note: 

Sample Interval (V) = 1
Run Time (sec) = 1.8e+3

Time/sec, Potential/V

2.050e+2, -3.009e-1
2.060e+2, -3.008e-1
2.070e+2, -3.008e-1
2.080e+2, -3.007e-1
2.090e+2, -3.007e-1
2.100e+2, -3.007e-1
2.110e+2, -3.006e-1
2.120e+2, -3.006e-1
2.130e+2, -3.006e-1
2.140e+2, -3.005e-1
2.150e+2, -3.005e-1
2.160e+2, -3.004e-1
2.170e+2, -3.004e-1
2.180e+2, -3.004e-1
2.190e+2, -3.003e-1
2.200e+2, -3.003e-1
2.210e+2, -3.002e-1
2.220e+2, -3.002e-1
2.230e+2, -3.001e-1
2.240e+2, -3.001e-1
2.250e+2, -3.000e-1
2.260e+2, -3.000e-1
2.270e+2, -3.000e-1
2.280e+2, -2.999e-1
2.290e+2, -2.999e-1
2.300e+2, -2.998e-1
2.310e+2, -2.998e-1
2.320e+2, -2.997e-1
2.330e+2, -2.997e-1
2.340e+2, -2.997e-1
2.350e+2, -2.996e-1
2.360e+2, -2.996e-1
2.370e+2, -2.995e-1
2.380e+2, -2.995e-1
2.390e+2, -2.994e-1
2.400e+2, -2.994e-1
2.410e+2, -2.993e-1
2.420e+2, -2.993e-1
2.430e+2, -2.992e-1
2.440e+2, -2.992e-1
2.450e+2, -2.992e-1
2.460e+2, -2.991e-1
2.470e+2, -2.991e-1
2.480e+2, -2.990e-1
2.490e+2, -2.990e-1
2.500e+2, -2.989e-1
2.510e+2, -2.989e-1
2.520e+2, -2.988e-1
2.530e+2, -2.988e-1
2.540e+2, -2.988e-1
2.550e+2, -2.987e-1
2.560e+2, -2.987e-1
2.570e+2, -2.986e-1
2.580e+2, -2.986e-1
2.590e+2, -2.985e-1
2.600e+2, -2.985e-1
2.610e+2, -2.984e-1
2.620e+2, -2.984e-1
2.630e+2, -2.983e-1
2.640e+2, -2.983e-1
2.650e+2, -2.982e-1
2.660e+2, -2.982e-1
2.670e+2, -2.982e-1
2.680e+2, -2.981e-1
2.690e+2, -2.981e-1
2.700e+2, -2.980e-1
2.710e+2, -2.980e-1
2.720e+2, -2.979e-1
2.730e+2, -2.979e-1
2.740e+2, -2.978e-1
2.750e+2, -2.978e-1
2.760e+2, -2.978e-1
2.770e+2, -2.977e-1
2.780e+2, -2.977e-1
2.790e+2, -2.976e-1
2.800e+2, -2.976e-1
2.810e+2, -2.975e-1
2.820e+2, -2.975e-1
2.830e+2, -2.974e-1
2.840e+2, -2.974e-1
2.850e+2, -2.974e-1
2.860e+2, -2.973e-1
2.870e+2, -2.973e-1
2.880e+2, -2.972e-1
2.890e+2, -2.972e-1
2.900e+2, -2.971e-1
2.910e+2, -2.971e-1
2.920e+2, -2.971e-1
2.930e+2, -2.970e-1
2.940e+2, -2.970e-1
2.950e+2, -2.969e-1
2.960e+2, -2.969e-1
2.970e+2, -2.968e-1
2.980e+2, -2.968e-1
2.990e+2, -2.968e-1
3.000e+2, -2.967e-1
3.010e+2, -2.967e-1
3.020e+2, -2.966e-1
3.030e+2, -2.966e-1
3.040e+2, -2.965e-1
3.050e+2, -2.965e-1
3.060e+2, -2.964e-1
3.070e+2, -2.964e-1
3.080e+2, -2.963e-1
3.090e+2, -2.962e-1
3.100e+2, -2.962e-1
3.110e+2, -2.961e-1
3.120e+2, -2.961e-1
3.130e+2, -2.961e-1
3.140e+2, -2.960e-1
3.150e+2, -2.960e-1
3.160e+2, -2.959e-1
3.170e+2, -2.959e-1
3.180e+2, -2.958e-1
3.190e+2, -2.958e-1
3.200e+2, -2.958e-1
3.210e+2, -2.957e-1
3.220e+2, -2.957e-1
3.230e+2, -2.956e-1
3.240e+2, -2.956e-1
3.250e+2, -2.955e-1
3.260e+2, -2.955e-1
3.270e+2, -2.954e-1
3.280e+2, -2.954e-1
3.290e+2, -2.954e-1
3.300e+2, -2.953e-1
3.310e+2, -2.953e-1
3.320e+2, -2.952e-1
3.330e+2, -2.952e-1
3.340e+2, -2.951e-1
3.350e+2, -2.950e-1
3.360e+2, -2.950e-1
3.370e+2, -2.949e-1
3.380e+2, -2.949e-1
3.390e+2, -2.948e-1
3.400e+2, -2.948e-1
3.410e+2, -2.948e-1
3.420e+2, -2.947e-1
3.430e+2, -2.947e-1
3.440e+2, -2.947e-1
3.450e+2, -2.946e-1
3.460e+2, -2.946e-1
3.470e+2, -2.945e-1
3.480e+2, -2.945e-1
3.490e+2, -2.944e-1
3.500e+2, -2.944e-1
3.510e+2, -2.944e-1
3.520e+2, -2.943e-1
3.530e+2, -2.943e-1
3.540e+2, -2.942e-1
3.550e+2, -2.942e-1
3.560e+2, -2.941e-1
3.570e+2, -2.941e-1
3.580e+2, -2.940e-1
3.590e+2, -2.940e-1
3.600e+2, -2.939e-1
3.610e+2, -2.939e-1
3.620e+2, -2.939e-1
3.630e+2, -2.938e-1
3.640e+2, -2.938e-1
3.650e+2, -2.937e-1
3.660e+2, -2.937e-1
3.670e+2, -2.936e-1
3.680e+2, -2.936e-1
3.690e+2, -2.935e-1
3.700e+2, -2.935e-1
3.710e+2, -2.935e-1
3.720e+2, -2.934e-1
3.730e+2, -2.934e-1
3.740e+2, -2.933e-1
3.750e+2, -2.933e-1
3.760e+2, -2.932e-1
3.770e+2, -2.932e-1
3.780e+2, -2.932e-1
3.790e+2, -2.931e-1
3.800e+2, -2.931e-1
3.810e+2, -2.930e-1
3.820e+2, -2.930e-1
3.830e+2, -2.929e-1
3.840e+2, -2.929e-1
3.850e+2, -2.928e-1
3.860e+2, -2.928e-1
3.870e+2, -2.927e-1
3.880e+2, -2.927e-1
3.890e+2, -2.927e-1
3.900e+2, -2.926e-1
3.910e+2, -2.926e-1
3.920e+2, -2.925e-1
3.930e+2, -2.925e-1
3.940e+2, -2.924e-1
3.950e+2, -2.924e-1
3.960e+2, -2.923e-1
3.970e+2, -2.923e-1
3.980e+2, -2.922e-1
3.990e+2, -2.922e-1
4.000e+2, -2.921e-1
4.010e+2, -2.921e-1
4.020e+2, -2.920e-1
4.030e+2, -2.920e-1
4.040e+2, -2.920e-1
4.050e+2, -2.919e-1
4.060e+2, -2.918e-1
4.070e+2, -2.918e-1
4.080e+2, -2.917e-1
4.090e+2, -2.917e-1
4.100e+2, -2.916e-1
4.110e+2, -2.916e-1
4.120e+2, -2.916e-1
4.130e+2, -2.915e-1
4.140e+2, -2.915e-1
4.150e+2, -2.914e-1
4.160e+2, -2.914e-1
4.170e+2, -2.913e-1
4.180e+2, -2.913e-1
4.190e+2, -2.912e-1
4.200e+2, -2.912e-1
4.210e+2, -2.911e-1
4.220e+2, -2.911e-1
4.230e+2, -2.911e-1
4.240e+2, -2.910e-1
4.250e+2, -2.910e-1
4.260e+2, -2.909e-1
4.270e+2, -2.909e-1
4.280e+2, -2.908e-1
4.290e+2, -2.908e-1
4.300e+2, -2.908e-1
4.310e+2, -2.907e-1
4.320e+2, -2.907e-1
4.330e+2, -2.906e-1
4.340e+2, -2.906e-1
4.350e+2, -2.905e-1
4.360e+2, -2.905e-1
4.370e+2, -2.905e-1
4.380e+2, -2.904e-1
4.390e+2, -2.904e-1
4.400e+2, -2.903e-1
4.410e+2, -2.902e-1
4.420e+2, -2.902e-1
4.430e+2, -2.901e-1
4.440e+2, -2.901e-1
4.450e+2, -2.900e-1
4.460e+2, -2.900e-1
4.470e+2, -2.900e-1
4.480e+2, -2.899e-1
4.490e+2, -2.899e-1
4.500e+2, -2.898e-1
4.510e+2, -2.898e-1
4.520e+2, -2.898e-1
4.530e+2, -2.897e-1
4.540e+2, -2.897e-1
4.550e+2, -2.897e-1
4.560e+2, -2.896e-1
4.570e+2, -2.896e-1
4.580e+2, -2.895e-1
4.590e+2, -2.895e-1
4.600e+2, -2.894e-1
4.610e+2, -2.894e-1
4.620e+2, -2.894e-1
4.630e+2, -2.893e-1
4.640e+2, -2.893e-1
4.650e+2, -2.892e-1
4.660e+2, -2.891e-1
4.670e+2, -2.891e-1
4.680e+2, -2.890e-1
4.690e+2, -2.890e-1
4.700e+2, -2.889e-1
4.710e+2, -2.889e-1
4.720e+2, -2.888e-1
4.730e+2, -2.888e-1
4.740e+2, -2.887e-1
4.750e+2, -2.887e-1
4.760e+2, -2.887e-1
4.770e+2, -2.886e-1
4.780e+2, -2.886e-1
4.790e+2, -2.885e-1
4.800e+2, -2.885e-1
4.810e+2, -2.885e-1
4.820e+2, -2.884e-1
4.830e+2, -2.884e-1
4.840e+2, -2.884e-1
4.850e+2, -2.883e-1
4.860e+2, -2.883e-1
4.870e+2, -2.882e-1
4.880e+2, -2.882e-1
4.890e+2, -2.881e-1
4.900e+2, -2.881e-1
4.910e+2, -2.880e-1
4.920e+2, -2.880e-1
4.930e+2, -2.879e-1
4.940e+2, -2.879e-1
4.950e+2, -2.878e-1
4.960e+2, -2.878e-1
4.970e+2, -2.878e-1
4.980e+2, -2.877e-1
4.990e+2, -2.877e-1
5.000e+2, -2.876e-1
5.010e+2, -2.876e-1
5.020e+2, -2.875e-1
5.030e+2, -2.875e-1
5.040e+2, -2.874e-1
5.050e+2, -2.874e-1
5.060e+2, -2.874e-1
5.070e+2, -2.873e-1
5.080e+2, -2.873e-1
5.090e+2, -2.872e-1
5.100e+2, -2.872e-1
5.110e+2, -2.871e-1
5.120e+2, -2.871e-1
5.130e+2, -2.871e-1
5.140e+2, -2.870e-1
5.150e+2, -2.870e-1
5.160e+2, -2.869e-1
5.170e+2, -2.869e-1
5.180e+2, -2.868e-1
5.190e+2, -2.868e-1
5.200e+2, -2.867e-1
5.210e+2, -2.867e-1
5.220e+2, -2.866e-1
5.230e+2, -2.866e-1
5.240e+2, -2.865e-1
5.250e+2, -2.865e-1
5.260e+2, -2.864e-1
5.270e+2, -2.864e-1
5.280e+2, -2.863e-1
5.290e+2, -2.863e-1
5.300e+2, -2.862e-1
5.310e+2, -2.862e-1
5.320e+2, -2.861e-1
5.330e+2, -2.861e-1
5.340e+2, -2.860e-1
5.350e+2, -2.860e-1
5.360e+2, -2.859e-1
5.370e+2, -2.859e-1
5.380e+2, -2.859e-1
5.390e+2, -2.858e-1
5.400e+2, -2.858e-1
5.410e+2, -2.858e-1
5.420e+2, -2.857e-1
5.430e+2, -2.857e-1
5.440e+2, -2.856e-1
5.450e+2, -2.856e-1
5.460e+2, -2.855e-1
5.470e+2, -2.855e-1
5.480e+2, -2.855e-1
5.490e+2, -2.854e-1
5.500e+2, -2.854e-1
5.510e+2, -2.853e-1
5.520e+2, -2.853e-1
5.530e+2, -2.852e-1
